read_id	protein_id	family	evalue	bitscore	pident	aln_len
SRR28636386.630211	A0AAW6QUD3	Cutinase_like	2.59e-16	68.2	58.0	50
SRR28636386.634245	A0A512AER1	Cutinase_like	3.01e-12	57.8	54.9	51
SRR28636386.640979	A9CMS7	AlkB	8.46e-10	50.8	47.1	51
SRR28636386.648275	A0A316YF96	Cutinase_like	1.59e-06	41.6	45.1	51
SRR28636386.672105	Q4FVK2	AlkB	2.02e-10	52.0	40.0	55
SRR28636386.676554	A0ABW3HCW7	AlkB	1.77e-10	52.8	46.3	67
SRR28636386.712853	A0AAE2E906	AlkB	2.68e-30	106	98.0	50
SRR28636386.712932	A0AAE2E906	AlkB	3.94e-29	103	96.0	50
SRR28636386.716033	Q5F4D8	AlkB	6.66e-27	98.6	98.0	50
SRR28636386.719216	G1C7R7	AlkB	4.85e-06	39.3	43.4	53
SRR28636386.719263	Q5F4D8	AlkB	6.66e-27	98.6	98.0	50
SRR28636386.720844	A0ABQ4SDE2	MHETase_like	1.11e-06	42.0	44.4	54
SRR28636386.753213	A0A9P5AHW0	Cutinase_like	9.03e-08	45.1	40.0	50
SRR28636386.776503	A0AAN5C2R9	Cutinase_like	4.64e-13	60.1	52.0	50
SRR28636386.779711	A0A239XVG7	AlkB	8.64e-26	92.0	82.0	50
SRR28636386.786754	A0A1X0BAF1	AlkB	1.04e-11	56.2	58.0	50
SRR28636386.789929	A0ABC9U9D7	Cutinase_like	1.22e-27	100	92.0	50
SRR28636386.792005	A0A5N5E036	Cutinase_like	5.62e-06	40.0	45.1	51
SRR28636386.792006	A0A5N5E036	Cutinase_like	5.62e-06	40.0	45.1	51
SRR28636386.805895	A0A254U084	Cutinase_like	5.67e-12	57.0	52.9	51
SRR28636386.808720	A0A254U084	Cutinase_like	5.67e-12	57.0	52.9	51
SRR28636386.809667	A0A679JIX2	MHETase_like	7.73e-12	56.6	55.8	52
SRR28636386.810444	A0A9W6N1A9	AlkB	2.23e-23	88.6	80.0	50
SRR28636386.810520	A0A9W6N1A9	AlkB	2.23e-23	88.6	80.0	50
SRR28636386.821208	A0A9W9D218	Cutinase_like	1.06e-11	56.2	50.9	53
SRR28636386.831559	A0AAN5C2R9	Cutinase_like	3.52e-08	46.2	43.1	51
SRR28636386.831622	A0AAN5C2R9	Cutinase_like	3.52e-08	46.2	43.1	51
SRR28636386.870710	A0A9P5AHW0	Cutinase_like	3.93e-06	40.4	36.0	50
SRR28636386.870821	A0A4Z0MA04	Cutinase_like	5.03e-14	62.8	58.0	50
SRR28636386.885545	A0A1V2ICM1	AlkB	4.77e-08	45.8	46.0	50
SRR28636386.885736	A0A1V2ICM1	AlkB	4.77e-08	45.8	46.0	50
SRR28636386.885765	A0A1V2ICM1	AlkB	4.77e-08	45.8	46.0	50
SRR28636386.896272	A0A316YF96	Cutinase_like	6.79e-19	76.6	76.0	50
SRR28636386.904006	A0A9P7RJB1	Cutinase_like	2.57e-08	46.6	48.0	50
SRR28636386.912391	A0A9P5AHW0	Cutinase_like	3.91e-09	48.9	52.0	50
SRR28636386.919116	A0ABY6Y3A1	AlkB	3.07e-20	79.7	80.0	50
SRR28636386.921128	G6EYA2	Cutinase_like	4.07e-25	93.2	80.0	50
SRR28636386.921266	A0ABT5I5U2	AlkB	1.03e-26	94.7	90.0	50
SRR28636386.943747	Q5F4D8	AlkB	3.36e-13	60.5	48.0	50
SRR28636386.944048	A0ABQ2CPL7	AlkB	2.71e-16	68.9	64.0	50
SRR28636386.949500	A0A2N3J077	Cutinase_like	9.12e-27	97.8	86.0	50
SRR28636386.949705	A0A2N3J077	Cutinase_like	9.12e-27	97.8	86.0	50
SRR28636386.949840	A0A2N3J077	Cutinase_like	9.12e-27	97.8	86.0	50
SRR28636386.951817	A0AAI9EJE0	AlkB	1.34e-13	60.5	62.0	50
SRR28636386.952245	M2VXL2	AlkB	1.12e-06	42.0	36.0	50
SRR28636386.954060	A0A0G4NCV0	Cutinase_like	5.19e-14	62.8	60.0	50
SRR28636386.975304	A0A3S8UBZ6	AlkB	1.07e-26	97.4	88.0	50
SRR28636386.979155	A0A6P2GGD3	AlkB	2.65e-08	46.6	52.9	51
SRR28636386.998800	A0A922NQS1	Cutinase_like	3.91e-09	48.9	49.0	51
SRR28636386.1011055	Q5F4D8	AlkB	1.86e-08	47.0	50.0	50
SRR28636386.1015630	A0ABQ1JGM9	AlkB	4.31e-19	76.6	74.0	50
SRR28636386.1024249	A0A177Y674	AlkB	1.56e-21	83.2	76.0	50
SRR28636386.1029603	A0A0D1YDG7	Cutinase_like	3.02e-12	57.8	48.0	50
SRR28636386.1034940	Q5F4D8	AlkB	1.58e-18	75.5	68.0	50
SRR28636386.1054864	A0ABY6Y3A1	AlkB	1.13e-23	89.0	78.0	50
SRR28636386.1057231	A0AAP8QDB7	AlkB	2.45e-14	63.5	58.0	50
SRR28636386.1084897	A0AAN5C2R9	Cutinase_like	7.11e-14	62.4	64.0	50
SRR28636386.1111496	A0AAE2E906	AlkB	3.34e-32	111	100.0	50
SRR28636386.1125604	A9CMS7	AlkB	8e-18	73.6	58.0	50
SRR28636386.1125715	A9CMS7	AlkB	9.44e-11	53.5	50.0	50
SRR28636386.1126390	Q5F4D8	AlkB	6.1e-19	76.6	62.0	50
SRR28636386.1136188	A0ABQ0W1F0	AlkB	8.64e-19	75.9	68.0	50
SRR28636386.1139505	A9CMS7	AlkB	5.04e-17	71.2	63.5	52
SRR28636386.1140431	A0ABX3N1Y0	AlkB	1.13e-24	91.7	84.0	50
SRR28636386.1142513	A0AAN5C2R9	Cutinase_like	4.15e-12	57.4	54.0	50
SRR28636386.1152060	A0A8H4JGE8	Cutinase_like	2.32e-07	43.9	46.0	50
SRR28636386.1154188	B6IHE3	AlkB	7.67e-06	39.7	40.0	55
SRR28636386.1154300	B6IHE3	AlkB	7.67e-06	39.7	40.0	55
SRR28636386.1161305	A9CMS7	AlkB	4.12e-12	57.4	50.0	50
SRR28636386.1162068	A0A0G4NCV0	Cutinase_like	1.87e-16	69.7	66.0	50
SRR28636386.1167977	G1C7R7	AlkB	3.19e-21	78.2	70.0	50
SRR28636386.1170439	A0A922NQS1	Cutinase_like	8.15e-10	50.8	52.9	51
SRR28636386.1189339	A0A517L0X3	Cutinase_like	3.12e-15	66.2	60.0	50
SRR28636386.1189405	A0A517L0X3	Cutinase_like	3.12e-15	66.2	60.0	50
SRR28636386.1201003	A0AAN5C2R9	Cutinase_like	8.15e-10	50.8	54.0	50
SRR28636386.1206507	A0A3R8RRN1	AlkB	1.62e-13	61.2	60.0	50
SRR28636386.1226801	A0A316YF96	Cutinase_like	2.19e-20	80.9	74.0	50
SRR28636386.1227598	A0A512N561	AlkB	5.96e-26	95.5	84.0	50
SRR28636386.1228848	A0A9W9D218	Cutinase_like	6.21e-07	42.7	51.9	54
SRR28636386.1231034	A0A9D7S6D7	AlkB	4.38e-17	71.2	60.0	50
SRR28636386.1231079	A0A9D7S6D7	AlkB	4.38e-17	71.2	60.0	50
SRR28636386.1235403	A0A9D7S6D7	AlkB	4.38e-17	71.2	60.0	50
SRR28636386.1236257	A0A9P5AHW0	Cutinase_like	9.45e-08	45.1	36.0	50
SRR28636386.1236319	A0A9P5AHW0	Cutinase_like	9.45e-08	45.1	36.0	50
SRR28636386.1240220	A0A837FB81	AlkB	2.35e-26	96.3	96.0	50
SRR28636386.1240532	A0A837FB81	AlkB	6.52e-25	92.4	92.0	50
SRR28636386.1250294	Q5F4D8	AlkB	1.04e-21	84.3	78.0	50
SRR28636386.1260327	A0AAN5C2R9	Cutinase_like	3.71e-11	54.7	50.0	50
SRR28636386.1271361	A0A1C7N448	Cutinase_like	5.04e-08	45.8	45.1	51
SRR28636386.1274295	A0ABU1FAZ6	AlkB	1.15e-31	110	96.0	50
SRR28636386.1278711	A0A9Q7NSE2	AlkB	1.85e-33	112	96.0	50
SRR28636386.1278738	A0A9Q7NSE2	AlkB	1.85e-33	112	96.0	50
SRR28636386.1291376	Q5F4D8	AlkB	6.32e-16	68.2	60.4	53
SRR28636386.1292013	A0A9W9D218	Cutinase_like	2.19e-06	41.2	39.3	56
SRR28636386.1302607	A0ABY6Y3A1	AlkB	9.31e-15	64.7	64.0	50
SRR28636386.1303469	G1C7H9	AlkB	1.88e-28	102	94.0	50
SRR28636386.1320289	A0AAN5C2R9	Cutinase_like	3.5e-16	68.9	66.0	50
SRR28636386.1342241	A0A1L7XLJ4	Cutinase_like	1.16e-09	50.4	48.0	50
SRR28636386.1347145	A0A0P9CMX4	AlkB	1.16e-18	75.9	68.0	50
SRR28636386.1350342	A0A9P4TBT9	Cutinase_like	2.43e-10	52.4	45.1	51
SRR28636386.1354531	A0AAE6Y585	AlkB	1.42e-15	67.0	64.0	50
SRR28636386.1359131	A0A9W9D218	Cutinase_like	6.88e-08	45.4	47.2	53
SRR28636386.1373312	A0A8J3KXG5	Cutinase_like	7.31e-13	59.3	64.0	50
SRR28636386.1382929	A0A316YF96	Cutinase_like	3.17e-10	52.0	52.5	59
SRR28636386.1384031	Q5F4D8	AlkB	5.5e-22	85.1	78.0	50
SRR28636386.1387182	A0A5C9A437	Cutinase_like	1.23e-10	53.1	51.8	56
SRR28636386.1408694	A0A3R9AL34	AlkB	2.7e-28	102	100.0	50
SRR28636386.1418846	A0A2J0PJA3	AlkB	8.31e-23	86.7	90.0	50
SRR28636386.1419133	A0A2J0PJA3	AlkB	6.02e-22	84.3	88.0	50
SRR28636386.1421805	A0A0D1YDG7	Cutinase_like	6.2e-10	51.2	40.0	50
SRR28636386.1424846	G1C7H9	AlkB	3.68e-26	96.3	84.0	50
SRR28636386.1426983	A0AAN5C2R9	Cutinase_like	3.94e-06	40.4	36.0	50
SRR28636386.1429864	A0A4S3MKA9	AlkB	3.41e-14	63.2	62.0	50
SRR28636386.1430216	A0A4S3MKA9	AlkB	3.41e-14	63.2	62.0	50
SRR28636386.1437006	Q5F4D8	AlkB	1.54e-12	58.5	58.0	50
SRR28636386.1444601	A0ABM6I1V7	AlkB	2.72e-16	68.9	66.0	50
SRR28636386.1461090	A0A9W9D218	Cutinase_like	1.05e-08	47.8	42.3	52
SRR28636386.1463444	A0AA95NII6	AlkB	1.38e-17	72.8	66.0	50
SRR28636386.1466777	A0ABU9NN15	AlkB	8.22e-26	94.4	84.0	50
SRR28636386.1470215	A0ABQ6BMW0	AlkB	1.94e-16	69.3	68.0	50
SRR28636386.1479647	A9CMS7	AlkB	3.23e-13	60.5	58.0	50
SRR28636386.1482596	A0A9W9D218	Cutinase_like	1.6e-06	41.6	38.6	57
SRR28636386.1486955	A0AAN5C2R9	Cutinase_like	8.54e-07	42.4	42.0	50
SRR28636386.1487129	A0AAN5C2R9	Cutinase_like	8.54e-07	42.4	42.0	50
SRR28636386.1489215	A0A0F8AVQ6	AlkB	1.57e-06	41.6	36.0	50
SRR28636386.1489604	A0ABS1D097	AlkB	7.93e-21	81.6	68.0	50
SRR28636386.1498373	A0A0H0AG54	AlkB	5.75e-28	100	100.0	50
SRR28636386.1512955	A0AAW6QUD3	Cutinase_like	2.59e-16	68.2	60.0	50
SRR28636386.1526357	A0A1I6G1S9	AlkB	8.3e-21	81.6	80.0	50
SRR28636386.1529992	A0A7W7SJU4	Cutinase_like	1.09e-14	64.7	54.0	50
SRR28636386.1544906	G1C7R7	AlkB	3.42e-18	70.5	68.0	50
SRR28636386.1545251	J4UWC3	Cutinase_like	8.09e-07	42.4	46.2	52
SRR28636386.1555489	A9CMS7	AlkB	9.36e-08	45.1	45.1	51
SRR28636386.1564758	A0A9W9D218	Cutinase_like	8.14e-10	50.8	45.3	53
SRR28636386.1567167	A0A1R7QE33	AlkB	2.04e-31	110	100.0	50
SRR28636386.1574553	J4UWC3	Cutinase_like	3.3e-10	52.0	52.0	50
SRR28636386.1577130	A0A8J2VM04	AlkB	5.29e-16	68.2	64.0	50
SRR28636386.1591103	A0A0P9CMX4	AlkB	4.28e-19	77.0	78.4	51
SRR28636386.1603161	A0A5J5GBP8	Cutinase_like	7.18e-15	63.9	56.0	50
SRR28636386.1607429	A0A0P9CMX4	AlkB	7.69e-12	56.6	54.9	51
SRR28636386.1607833	A0A6J4ZUJ9	MHETase_like	1.22e-15	67.4	68.0	50
SRR28636386.1613651	A0A1X1UCC7	AlkB	4.05e-06	40.4	44.0	50
SRR28636386.1646781	A0A2N3J077	Cutinase_like	1.75e-27	99.8	96.0	50
SRR28636386.1654998	A0A0P8X0D6	Cutinase_like	9.88e-16	67.4	62.0	50
SRR28636386.1666769	A0AAE2E906	AlkB	4.97e-31	108	98.0	50
SRR28636386.1673626	A0AAW6QUD3	Cutinase_like	5.18e-15	64.7	52.0	50
SRR28636386.1673799	A0A9Q7NSE2	AlkB	2.65e-30	103	98.0	50
SRR28636386.1683579	A0ABW3HCW7	AlkB	8.12e-10	50.8	54.0	50
SRR28636386.1687157	A0A2J0PJA3	AlkB	5.74e-25	92.4	100.0	50
SRR28636386.1712644	G1C7H9	AlkB	1.96e-14	63.9	62.0	50
SRR28636386.1721992	A0A9W9D218	Cutinase_like	1.52e-09	50.1	44.4	54
SRR28636386.1723213	A0A9W6N1A9	AlkB	1.58e-27	99.8	86.0	50
SRR28636386.1725241	A0A916UUV4	AlkB	6.82e-08	45.4	39.3	56
SRR28636386.1732833	G1C7H9	AlkB	1.96e-14	63.9	53.6	56
SRR28636386.1736198	A0A0P9CMX4	AlkB	1.11e-06	42.0	49.0	51
SRR28636386.1739237	A0AAW6QUD3	Cutinase_like	2.59e-16	68.2	58.0	50
SRR28636386.1739287	A0AAW6QUD3	Cutinase_like	2.59e-16	68.2	58.0	50
SRR28636386.1753043	A0AAN5C2R9	Cutinase_like	2.22e-12	58.2	52.0	50
SRR28636386.1753058	A0AAN5C2R9	Cutinase_like	2.22e-12	58.2	52.0	50
SRR28636386.1769087	A0AAN5C2R9	Cutinase_like	1.44e-08	47.4	42.0	50
SRR28636386.1769239	A0AAN5C2R9	Cutinase_like	1.44e-08	47.4	42.0	50
SRR28636386.1784913	A0A254U084	Cutinase_like	1.6e-09	50.1	44.2	52
SRR28636386.1789187	A0A2C9DEC6	AlkB	9.85e-26	92.0	76.0	50
SRR28636386.1793307	A0A0K8P8E7	MHETase_like	4.07e-09	48.9	52.0	50
SRR28636386.1795576	A0A2N3J077	Cutinase_like	3.32e-23	88.2	84.0	50
SRR28636386.1820658	D3B1Q5	Cutinase_like	7.91e-07	42.4	43.1	51
SRR28636386.1822453	J4UWC3	Cutinase_like	5.05e-11	54.3	48.0	50
SRR28636386.1822894	J4UWC3	Cutinase_like	5.05e-11	54.3	48.0	50
SRR28636386.1824007	J4UWC3	Cutinase_like	5.05e-11	54.3	48.0	50
SRR28636386.1824008	J4UWC3	Cutinase_like	5.05e-11	54.3	48.0	50
SRR28636386.1837509	A0A0P9CMX4	AlkB	7e-17	70.9	66.0	50
SRR28636386.1839852	V2VKN3	Cutinase_like	8.95e-29	102	98.0	50
SRR28636386.1843277	A0A9P5AHW0	Cutinase_like	2.18e-09	49.7	46.0	50
SRR28636386.1858915	A0A0G4NCV0	Cutinase_like	2.09e-06	41.2	42.0	50
SRR28636386.1867536	A0A6G6WLJ2	AlkB	3.55e-19	77.4	78.0	50
SRR28636386.1872531	A0A2K9Z6S4	Cutinase_like	7.8e-26	95.1	82.0	50
SRR28636386.1883828	A0A918W8F7	AlkB	1.56e-14	62.8	62.0	50
SRR28636386.1890146	A0A166B1A5	AlkB	4.63e-23	87.8	78.0	50
SRR28636386.1900588	A0A9W9D218	Cutinase_like	2.09e-06	41.2	41.5	53
SRR28636386.1901690	A0A9W9D218	Cutinase_like	2.09e-06	41.2	41.5	53
SRR28636386.1902983	A0A7S4ED23	Cutinase_like	2.28e-08	46.6	46.0	50
SRR28636386.1921281	A0A7W8XJQ4	Cutinase_like	3.22e-21	82.4	78.0	50
SRR28636386.1921320	A0A7W8XJQ4	Cutinase_like	3.22e-21	82.4	78.0	50
SRR28636386.1921358	A0A7W8XJQ4	Cutinase_like	3.22e-21	82.4	78.0	50
SRR28636386.1922552	A0A2A7NKU2	AlkB	3.53e-19	75.9	68.0	50
SRR28636386.1931623	A0A9W9D218	Cutinase_like	5.59e-09	48.5	41.5	53
SRR28636386.1931883	A0A0B4FG01	Cutinase_like	2.3e-07	43.9	43.1	51
SRR28636386.1932977	A0A3Q8MC64	AlkB	2.93e-14	62.0	54.0	50
SRR28636386.1933059	A0A3Q8MC64	AlkB	4.6e-12	56.2	52.0	50
SRR28636386.1934395	G1C7H9	AlkB	5.21e-18	73.9	66.0	50
SRR28636386.1936714	A0A679JIX2	MHETase_like	7.73e-12	56.6	54.7	53
SRR28636386.1947062	A0A554WIU4	MHETase_like	1.49e-22	87.0	78.0	50
SRR28636386.1948840	A0A9P5AHW0	Cutinase_like	9.45e-08	45.1	36.0	50
SRR28636386.1950312	A0A0A1W922	Cutinase_like	3.16e-10	52.0	61.5	52
SRR28636386.1953924	A0A9Q7NSE2	AlkB	2.65e-30	103	98.0	50
SRR28636386.1956676	A0AAN5C2R9	Cutinase_like	1.69e-07	44.3	45.1	51
SRR28636386.1972910	G1C7H9	AlkB	3.88e-15	65.9	61.1	54
SRR28636386.1973918	G1C7H9	AlkB	3.88e-15	65.9	61.1	54
SRR28636386.1989085	A0AAW6QUD3	Cutinase_like	2.55e-15	65.5	55.2	58
SRR28636386.1989829	A0A1L7XLJ4	Cutinase_like	1.16e-06	42.0	36.0	50
SRR28636386.2001048	A0A1S9RVN2	Cutinase_like	1.04e-14	64.7	56.9	51
SRR28636386.2016339	A0A4P6ZCX2	AlkB	1.05e-17	71.2	62.0	50
SRR28636386.2022013	A0A5N5E036	Cutinase_like	3.51e-08	46.2	46.0	50
SRR28636386.2027515	A0A922NQS1	Cutinase_like	3.68e-08	46.2	37.3	51
SRR28636386.2033630	C8NC16	AlkB	6.31e-20	77.0	72.0	50
SRR28636386.2042446	A0A9W9D218	Cutinase_like	4.85e-11	54.3	52.9	51
SRR28636386.2055092	A0A918W8F7	AlkB	1.74e-12	57.4	58.0	50
SRR28636386.2057209	A9CMS7	AlkB	2.02e-14	63.9	56.0	50
SRR28636386.2057903	A0AAN5C2R9	Cutinase_like	3.91e-09	48.9	50.0	50
SRR28636386.2057911	A0AAN5C2R9	Cutinase_like	7.33e-09	48.1	50.0	50
SRR28636386.2060040	G1C7H9	AlkB	2.26e-20	80.5	74.0	50
SRR28636386.2067200	A0A1A5J4W7	AlkB	6.4e-23	87.0	80.0	50
SRR28636386.2070301	A0A076EXU7	AlkB	1.41e-14	64.3	60.0	50
SRR28636386.2070787	A0AAE2JQM8	AlkB	1.17e-25	94.4	98.0	50
SRR28636386.2071856	A0A9Q7NSE2	AlkB	2.33e-25	91.3	92.0	50
SRR28636386.2075247	A0AAW6QUD3	Cutinase_like	3.74e-11	54.3	54.0	50
SRR28636386.2086168	A0A1Y5SMM4	AlkB	3.22e-22	85.5	74.0	50
SRR28636386.2088241	A0A1S1L8T0	AlkB	2.09e-18	74.7	76.0	50
SRR28636386.2096222	A0A2S9GX20	AlkB	6.75e-15	60.5	52.0	50
SRR28636386.2096290	A0A254U084	Cutinase_like	4.86e-11	54.3	52.0	50
SRR28636386.2098525	A0ABQ6BJ79	AlkB	4.23e-26	92.8	94.0	50
SRR28636386.2117526	A0ABY6Y3A1	AlkB	4.28e-22	84.7	70.0	50
SRR28636386.2125763	G1C7H9	AlkB	6.22e-13	59.7	58.0	50
SRR28636386.2126275	G1C7H9	AlkB	6.22e-13	59.7	58.0	50
SRR28636386.2134148	A0A918W8F7	AlkB	3.86e-15	64.3	56.0	50
SRR28636386.2146207	A0A512NG10	AlkB	3.15e-07	43.5	45.3	53
SRR28636386.2150874	A0A1E7N1S6	AlkB	4.17e-19	77.0	70.0	50
SRR28636386.2157747	A0AAW6QUD3	Cutinase_like	9.51e-11	53.1	54.9	51
SRR28636386.2180191	A0A0P9CMX4	AlkB	7.37e-12	56.6	48.0	50
SRR28636386.2182241	A0A0P9CMX4	AlkB	2.88e-12	57.8	48.0	50
SRR28636386.2188759	A0A8H5WYF6	Cutinase_like	5.59e-09	48.5	51.0	51
SRR28636386.2189120	A0A8J4H1B4	Cutinase_like	2.08e-06	41.2	40.4	52
SRR28636386.2194747	A0A9W6N1A9	AlkB	5.45e-20	79.3	70.0	50
SRR28636386.2197190	A0ABW3HCW7	AlkB	4.52e-07	43.1	38.0	50
SRR28636386.2203499	A0AAQ0NAT2	MHETase_like	3e-20	80.5	70.0	50
SRR28636386.2204524	A0A437K1W0	AlkB	9.21e-26	94.7	86.0	50
SRR28636386.2214112	A0ABQ6EE57	AlkB	2.05e-26	96.3	94.0	50
SRR28636386.2223563	G1C7H9	AlkB	1.25e-16	70.1	64.0	50
SRR28636386.2223564	G1C7H9	AlkB	1.25e-16	70.1	64.0	50
SRR28636386.2224976	A0ABQ2EJG7	AlkB	4.19e-19	76.6	76.0	50
SRR28636386.2226421	A0AAU9BQF9	AlkB	8.31e-23	86.7	88.0	50
SRR28636386.2230950	Q5F4D8	AlkB	2.4e-07	43.9	49.0	51
SRR28636386.2263909	A0A554WIU4	MHETase_like	4.25e-15	65.9	66.0	50
SRR28636386.2273174	A0A0F1B6D0	AlkB	8.01e-25	92.0	98.0	50
SRR28636386.2274114	A0A0F1B6D0	AlkB	5.88e-24	89.7	96.0	50
