read_id	protein_id	family	evalue	bitscore	pident	aln_len	taxid	genus	species	source_db
SRR23872596.79614	A0A1T3WM18	AlkB	4.89e-13	60.1	48.1	52		Mycolicibacterium	Mycolicibacterium diernhoferi	UniProt
SRR23872596.80818	A0A922NQS1	Cutinase_like	7.12e-07	42.7	37.7	53		Pyrenophora	Pyrenophora tritici-repentis	UniProt
SRR23872596.81288	A0A1E7N1S6	AlkB	1.39e-07	44.7	38.5	52		Kitasatospora	Kitasatospora aureofaciens (Streptomyces aureofaciens)	UniProt
SRR23872596.82061	F8U1Q3	AlkB	5.04e-26	91.7	82.4	51		Arthrobacter	Arthrobacter sp. 7.19-VPa	UniProt
SRR23872596.89831	A0ABW3HCW7	AlkB	1.27e-09	50.4	45.6	68		Paraperlucidibaca	Paraperlucidibaca wandonensis	UniProt
SRR23872596.93252	A0A6J5F6R0	MHETase_like	4.14e-06	40.4	50.0	50		Paraburkholderia	Paraburkholderia solisilvae	UniProt
SRR23872596.93642	G1C7R7	AlkB	1.15e-17	69.3	60.4	53		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.94734	A0A316YF96	Cutinase_like	5.21e-16	68.6	64.0	50		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.95143	A9CMS7	AlkB	2.75e-16	69.3	63.5	52		Gordonia	Gordonia sp. TF6	UniProt
SRR23872596.95711	A0AAN5C2R9	Cutinase_like	5.31e-13	60.1	52.8	53		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.97629	A0A3Q8MC64	AlkB	6.77e-18	71.6	60.4	53		Rhodococcus	Rhodococcus opacus (Nocardia opaca)	UniProt
SRR23872596.98953	A0ABW3HCW7	AlkB	1.92e-07	44.3	50.0	50		Paraperlucidibaca	Paraperlucidibaca wandonensis	UniProt
SRR23872596.100107	Q5F4D8	AlkB	2.36e-06	41.2	41.2	51		Sphingopyxis	Sphingopyxis macrogoltabida (Sphingomonas macrogoltabidus)	UniProt
SRR23872596.101523	Q5F4D8	AlkB	2.36e-06	41.2	41.2	51		Sphingopyxis	Sphingopyxis macrogoltabida (Sphingomonas macrogoltabidus)	UniProt
SRR23872596.102994	A0A382CF23	Cutinase_like	5.66e-08	45.8	41.8	55		marine	marine metagenome	UniProt
SRR23872596.103742	G1C7H9	AlkB	2.18e-18	75.1	72.5	51		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.104095	A0AAE6Y585	AlkB	1.25e-06	42.0	41.2	51		Streptomyces	Streptomyces antibioticus	UniProt
SRR23872596.104997	A0AAN5C2R9	Cutinase_like	4.66e-15	65.9	68.0	50		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.107615	A0A922NQS1	Cutinase_like	3.63e-07	43.5	45.1	51		Pyrenophora	Pyrenophora tritici-repentis	UniProt
SRR23872596.109560	A0A1X0BAF1	AlkB	1.8e-06	41.6	45.3	53		Mycobacterium	Mycobacterium aquaticum	UniProt
SRR23872596.109608	A0A286RH75	Cutinase_like	1.92e-10	52.8	50.0	52		Thermogutta	Thermogutta terrifontis	UniProt
SRR23872596.116545	A0A1E3LRC3	AlkB	1.06e-16	70.5	68.0	50		Sphingomonas	Sphingomonas turrisvirgatae	UniProt
SRR23872596.119827	A0A1V2ICM1	AlkB	5.45e-11	54.3	50.9	53		Pseudofrankia	Pseudofrankia asymbiotica	UniProt
SRR23872596.125228	B6Z2A7	AlkB	2.1500000000000002e-26	93.2	82.7	52		Alcanivorax	Alcanivorax sp. S8-5	UniProt
SRR23872596.128461	A0A9P4TBT9	Cutinase_like	3.15e-17	72.0	65.4	52		Curvularia	Curvularia kusanoi (Cochliobolus kusanoi)	UniProt
SRR23872596.132301	A0A382EE29	Cutinase_like	1.06e-13	62.0	56.9	51		marine	marine metagenome	UniProt
SRR23872596.134326	A0A5N5E036	Cutinase_like	1.65e-11	55.8	55.6	54		Rhodococcus	Rhodococcus erythropolis (Arthrobacter picolinophilus)	UniProt
SRR23872596.134751	A0A538SMW8	Cutinase_like	2.88e-17	70.5	62.3	53		Eiseniibacteriota	Eiseniibacteriota bacterium	UniProt
SRR23872596.135788	A0ABR7MBV8	AlkB	4.14e-17	71.6	60.0	50		Flavihumibacter	Flavihumibacter stibioxidans	UniProt
SRR23872596.136855	A0A922NQS1	Cutinase_like	1.04e-10	53.5	52.0	50		Pyrenophora	Pyrenophora tritici-repentis	UniProt
SRR23872596.141521	A0A071MHG8	AlkB	5.85e-12	57.0	51.0	51		Burkholderia	Burkholderia cenocepacia	UniProt
SRR23872596.150748	A0A5M8NZN6	MHETase_like	7.09e-16	68.2	62.0	50		Candidatus	Candidatus Ordinivivax streblomastigis	UniProt
SRR23872596.150855	A0A0P9CMX4	AlkB	3.42e-12	57.8	52.9	51		Alicyclobacillus	Alicyclobacillus ferrooxydans	UniProt
SRR23872596.151020	A0A1S9RVN2	Cutinase_like	7.599999999999999e-24	90.9	81.1	53		Penicillium	Penicillium brasilianum	UniProt
SRR23872596.154749	A0A1Q9AR33	AlkB	1.39e-07	44.7	43.4	53		Xaviernesmea	Xaviernesmea oryzae	UniProt
SRR23872596.155150	A0A556QNH3	Cutinase_like	9.47e-14	62.0	54.9	51		Rariglobus	Rariglobus hedericola	UniProt
SRR23872596.156363	A0AAN5C2R9	Cutinase_like	4.5e-17	71.6	69.2	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.156584	A0A1S9RVN2	Cutinase_like	5.87e-17	71.2	58.1	62		Penicillium	Penicillium brasilianum	UniProt
SRR23872596.160359	C1AAJ2	Cutinase_like	9.01e-18	73.6	61.5	52		Gemmatimonas	Gemmatimonas aurantiaca (strain DSM 14586 / JCM 11422 / NBRC 100505 / T-27)	UniProt
SRR23872596.160407	G1C7H9	AlkB	1.15e-18	75.9	67.3	52		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.161082	C1AAJ2	Cutinase_like	9.01e-18	73.6	61.5	52		Gemmatimonas	Gemmatimonas aurantiaca (strain DSM 14586 / JCM 11422 / NBRC 100505 / T-27)	UniProt
SRR23872596.161149	A0A1Y1SD44	AlkB	4.6900000000000004e-21	82.8	71.2	52		Oceanococcus	Oceanococcus atlanticus	UniProt
SRR23872596.162744	A0A922NQS1	Cutinase_like	4.06e-11	54.7	54.0	50		Pyrenophora	Pyrenophora tritici-repentis	UniProt
SRR23872596.164133	A0AAN5C2R9	Cutinase_like	1.66e-11	55.8	49.1	53		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.164963	A0AAN5C2R9	Cutinase_like	3.83e-16	68.9	74.0	50		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.166044	A0A1E1JTL6	Cutinase_like	4.21e-11	54.7	52.9	51		Rhynchosporium	Rhynchosporium graminicola	UniProt
SRR23872596.166990	A0A0F9YAJ9	Cutinase_like	1.67e-14	64.3	60.4	53		marine	marine sediment metagenome	UniProt
SRR23872596.169286	A0A1X0I552	AlkB	1.13e-08	47.8	40.4	52		Mycobacterium	Mycobacterium paraseoulense	UniProt
SRR23872596.172017	A0AA37M568	AlkB	1.02e-16	68.2	62.7	51		Methylobacterium	Methylobacterium frigidaeris	UniProt
SRR23872596.173428	A9CMS7	AlkB	7.35e-16	68.2	50.9	53		Gordonia	Gordonia sp. TF6	UniProt
SRR23872596.174013	A0A841B6R1	Cutinase_like	3.23e-06	40.8	41.2	51		Amycolatopsis	Amycolatopsis umgeniensis	UniProt
SRR23872596.175064	A0A9W9D218	Cutinase_like	4.01e-08	46.2	46.3	54		Gnomoniopsis	Gnomoniopsis smithogilvyi	UniProt
SRR23872596.176232	A0A316YF96	Cutinase_like	1.47e-07	44.7	47.1	51		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.176368	A0A316YF96	Cutinase_like	1.47e-07	44.7	47.1	51		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.176633	K2RTV3	Cutinase_like	1.38e-15	67.4	56.6	53		Macrophomina	Macrophomina phaseolina (strain MS6) (Charcoal rot fungus)	UniProt
SRR23872596.176945	A0A4R6RNS3	AlkB	1.34e-32	113.0	96.2	52		Aquabacterium	Aquabacterium commune	UniProt
SRR23872596.179049	A0AAN5C2R9	Cutinase_like	1.99e-13	61.2	54.9	51		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.180184	Q5F4D8	AlkB	3.98e-20	80.1	71.2	52		Sphingopyxis	Sphingopyxis macrogoltabida (Sphingomonas macrogoltabidus)	UniProt
SRR23872596.180948	A0ABR7MBV8	AlkB	4.28e-14	63.2	50.9	53		Flavihumibacter	Flavihumibacter stibioxidans	UniProt
SRR23872596.185051	A0A9P5AHW0	Cutinase_like	3.27e-09	49.3	55.8	52		Fusarium	Fusarium beomiforme	UniProt
SRR23872596.187433	A0A0D1YDG7	Cutinase_like	1.19e-08	47.8	39.3	61		Verruconis	Verruconis gallopava	UniProt
SRR23872596.193304	A0ABU3XZF2	AlkB	2.4600000000000003e-21	78.2	65.4	52		Metapseudomonas	Metapseudomonas otitidis	UniProt
SRR23872596.195562	A0ABR5J5T3	AlkB	3.22e-06	40.8	44.0	50		Streptomyces	Streptomyces varsoviensis	UniProt
SRR23872596.196613	A0AAN5C2R9	Cutinase_like	2.94e-08	46.6	46.2	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.203585	A0A316YF96	Cutinase_like	5.71e-08	45.8	54.0	50		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.204008	A0A5N5E036	Cutinase_like	3.79e-10	52.0	58.5	53		Rhodococcus	Rhodococcus erythropolis (Arthrobacter picolinophilus)	UniProt
SRR23872596.206327	A9CMS7	AlkB	2.05e-13	61.2	52.8	53		Gordonia	Gordonia sp. TF6	UniProt
SRR23872596.207834	A0A0P9CMX4	AlkB	1.28e-12	58.9	51.9	52		Alicyclobacillus	Alicyclobacillus ferrooxydans	UniProt
SRR23872596.207985	A0A1S1QJ66	AlkB	6.29e-20	79.0	73.1	52		Parafrankia	Parafrankia colletiae	UniProt
SRR23872596.216010	A0A0P9CMX4	AlkB	3.82e-13	60.5	49.1	53		Alicyclobacillus	Alicyclobacillus ferrooxydans	UniProt
SRR23872596.216165	A0AA37X297	AlkB	1.34e-31	110.0	96.2	52		Cypionkella	Cypionkella aquatica	UniProt
SRR23872596.216309	A0A0P8X0D6	Cutinase_like	1.12e-08	47.8	48.0	50		Pseudomonas	Pseudomonas fluorescens	UniProt
SRR23872596.216942	A0A0P9CMX4	AlkB	1.35e-15	67.4	57.7	52		Alicyclobacillus	Alicyclobacillus ferrooxydans	UniProt
SRR23872596.218221	A0AAN5C2R9	Cutinase_like	3.18e-14	63.5	62.3	53		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.221345	A0A922NQS1	Cutinase_like	8.38e-09	48.1	42.6	54		Pyrenophora	Pyrenophora tritici-repentis	UniProt
SRR23872596.223552	A0AAN5C2R9	Cutinase_like	7.15e-16	68.2	63.5	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.223553	A0A0R3KEM9	AlkB	1.09e-30	108.0	98.1	52		Bradyrhizobium	Bradyrhizobium jicamae	UniProt
SRR23872596.227243	A0AAN5C2R9	Cutinase_like	4.48e-09	48.9	48.1	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.227821	A0ABM6H719	AlkB	7.44e-11	53.9	53.8	52		Streptomyces	Streptomyces autolyticus	UniProt
SRR23872596.231550	A0A6N7LSU7	AlkB	7.71e-14	62.4	42.4	59		Alcanivorax	Alcanivorax sediminis	UniProt
SRR23872596.233064	A0A0U3TFK6	AlkB	3.21e-27	98.6	94.0	50		Aeromicrobium	Aeromicrobium erythreum	UniProt
SRR23872596.233146	A0A090DRU0	AlkB	5.64e-25	90.1	63.5	52		Mesorhizobium	Mesorhizobium plurifarium	UniProt
SRR23872596.234940	A0ABQ6BMW0	AlkB	6.32e-24	89.7	73.6	53		Brevundimonas	Brevundimonas denitrificans	UniProt
SRR23872596.235597	A0AAN5C2R9	Cutinase_like	9.78e-16	67.8	58.8	51		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.239127	A0A916SGU4	AlkB	6.29e-23	85.1	71.2	52		Polaromonas	Polaromonas eurypsychrophila	UniProt
SRR23872596.239403	A0A318LRJ6	AlkB	1.09e-19	78.6	61.5	52		Prauserella	Prauserella flavalba	UniProt
SRR23872596.241805	A0A9P5AHW0	Cutinase_like	4.5e-06	40.4	40.4	52		Fusarium	Fusarium beomiforme	UniProt
SRR23872596.244694	A0AAN5C2R9	Cutinase_like	2.27e-11	55.5	50.0	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.246315	A9CMS7	AlkB	7.86e-11	53.9	50.0	50		Gordonia	Gordonia sp. TF6	UniProt
SRR23872596.247847	A0A3T1D4I6	AlkB	1.41e-20	80.9	66.0	53		Cohnella	Cohnella abietis	UniProt
SRR23872596.248362	A0A3T1D4I6	AlkB	1.41e-20	80.9	66.0	53		Cohnella	Cohnella abietis	UniProt
SRR23872596.252652	A0A1X0BAF1	AlkB	1.91e-10	52.8	53.8	52		Mycobacterium	Mycobacterium aquaticum	UniProt
SRR23872596.254216	A0A512NG10	AlkB	3.74e-07	43.5	40.4	52		Reyranella	Reyranella soli	UniProt
SRR23872596.257533	A0A254U2U8	Cutinase_like	3.07e-11	55.1	51.0	51		Aspergillus	Aspergillus niger	UniProt
SRR23872596.259349	A0A0W1R4J3	AlkB	4.59e-06	40.4	36.5	52		Haloprofundus	Haloprofundus marisrubri	UniProt
SRR23872596.262699	A0A316YF96	Cutinase_like	1.68e-17	72.8	65.4	52		Acaromyces	Acaromyces ingoldii	UniProt
SRR23872596.264161	A0A840R8S4	AlkB	1.9e-10	52.8	58.0	50		Silvimonas	Silvimonas terrae	UniProt
SRR23872596.265043	A0A1X1TQC3	Cutinase_like	8.940000000000001e-35	116.0	88.7	53		Mycobacterium	Mycobacterium conspicuum	UniProt
SRR23872596.265671	A0A0H4LJ17	AlkB	7.55e-22	79.3	68.6	51		Aquabacterium	Aquabacterium parvum	UniProt
SRR23872596.269283	A0A0M8PKR8	AlkB	2.61e-07	43.9	43.1	51		Rhodococcus	Rhodococcus rhodochrous KG-21	UniProt
SRR23872596.271172	A0ABQ6CYQ0	AlkB	1.5e-15	67.0	60.8	51		Labrys	Labrys miyagiensis	UniProt
SRR23872596.273695	A0A0D1YDG7	Cutinase_like	2.29e-17	72.4	59.6	52		Verruconis	Verruconis gallopava	UniProt
SRR23872596.273797	A0A1X0I552	AlkB	4.14e-08	46.2	41.5	53		Mycobacterium	Mycobacterium paraseoulense	UniProt
SRR23872596.274038	A9CMS7	AlkB	2.6e-22	86.3	80.8	52		Gordonia	Gordonia sp. TF6	UniProt
SRR23872596.274274	A0A0N7H9C9	AlkB	4.04e-09	48.5	50.0	52		Mycolicibacterium	Mycolicibacterium fortuitum (Mycobacterium fortuitum)	UniProt
SRR23872596.275712	A0A7W7SJU4	Cutinase_like	1.1e-16	70.5	67.3	52		Kitasatospora	Kitasatospora gansuensis	UniProt
SRR23872596.276118	A0AAN5C2R9	Cutinase_like	1.83e-15	67.0	67.3	52		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.277001	A0AAN5C2R9	Cutinase_like	1.11e-13	62.0	49.1	53		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.277710	A0ABT6L495	Cutinase_like	3.0100000000000004e-27	96.3	94.2	52		Mycolicibacterium	Mycolicibacterium frederiksbergense	UniProt
SRR23872596.287036	A0A6F8YCI5	AlkB	2.45e-09	49.7	34.6	52		Phytohabitans	Phytohabitans suffuscus	UniProt
SRR23872596.287618	A0A3G9IX35	AlkB	4.55e-12	57.4	50.0	50		Paenibacillus	Paenibacillus baekrokdamisoli	UniProt
SRR23872596.289005	A0A917Q8D6	AlkB	1.13e-11	56.2	47.1	51		Salinarimonas	Salinarimonas ramus	UniProt
SRR23872596.291842	A0A254U2U8	Cutinase_like	1.32e-15	67.4	56.9	51		Aspergillus	Aspergillus niger	UniProt
SRR23872596.294324	A0A164J077	AlkB	5.44e-08	45.8	38.5	52		Nocardia	Nocardia terpenica	UniProt
SRR23872596.297768	A0A0A2VAB0	Cutinase_like	6.82e-07	42.7	43.5	62		Beauveria	Beauveria bassiana D1-5	UniProt
SRR23872596.298081	A0A4R3N1N4	AlkB	5.14e-18	73.9	76.9	52		Thermomonas	Thermomonas haemolytica	UniProt
SRR23872596.300288	C7EB06	AlkB	3.62e-24	86.7	76.9	52		uncultured	uncultured prokaryote	UniProt
SRR23872596.303968	B6IHE3	AlkB	8.38e-06	39.7	44.2	52		Caenorhabditis	Caenorhabditis briggsae	UniProt
SRR23872596.311502	G1C7H9	AlkB	4.83e-16	68.6	60.8	51		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.313990	A0A0D1YDG7	Cutinase_like	1.73e-06	41.6	43.1	51		Verruconis	Verruconis gallopava	UniProt
SRR23872596.314608	A0A4V3F676	AlkB	1.7e-26	97.4	88.5	52		Panacagrimonas	Panacagrimonas perspica	UniProt
SRR23872596.317221	A0ABM6H719	AlkB	6.99e-07	42.7	51.0	51		Streptomyces	Streptomyces autolyticus	UniProt
SRR23872596.317788	A0AAE6Y585	AlkB	5.18e-24	90.1	71.2	52		Streptomyces	Streptomyces antibioticus	UniProt
SRR23872596.321085	A0A8H4JGE8	Cutinase_like	2.97e-11	55.1	45.1	51		Fusarium	Fusarium acutatum	UniProt
SRR23872596.321257	G1C7H9	AlkB	1.56e-11	55.8	50.9	55		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.321337	A0A0F8AVQ6	AlkB	1.28e-09	50.4	48.1	52		Halorubrum	Halorubrum saccharovorum	UniProt
SRR23872596.324267	A0ABQ3GCS7	AlkB	1.2500000000000001e-22	86.3	81.1	53		Pseudorhodoferax	Pseudorhodoferax aquiterrae	UniProt
SRR23872596.326297	A0ABQ6BST8	AlkB	9.12e-19	75.9	76.0	50		Chitiniphilus	Chitiniphilus shinanonensis	UniProt
SRR23872596.327401	A0A922NQS1	Cutinase_like	4.03e-08	46.2	44.0	50		Pyrenophora	Pyrenophora tritici-repentis	UniProt
SRR23872596.330336	A0A5N5E036	Cutinase_like	4.01e-08	46.2	54.0	50		Rhodococcus	Rhodococcus erythropolis (Arthrobacter picolinophilus)	UniProt
SRR23872596.332585	K2RTV3	Cutinase_like	8.42e-12	56.6	51.9	52		Macrophomina	Macrophomina phaseolina (strain MS6) (Charcoal rot fungus)	UniProt
SRR23872596.333053	A0ABW1TSY4	AlkB	1.72e-22	84.0	73.1	52		Polaromonas	Polaromonas aquatica	UniProt
SRR23872596.335858	A0A1A5J4W7	AlkB	1.32e-24	91.7	84.6	52		Rhizobium	Rhizobium loti (Mesorhizobium loti)	UniProt
SRR23872596.336788	A0A0W8IC11	AlkB	1.18e-27	99.8	88.5	52		Serinicoccus	Serinicoccus chungangensis	UniProt
SRR23872596.342976	A9CMS7	AlkB	2.64e-10	52.4	52.0	50		Gordonia	Gordonia sp. TF6	UniProt
SRR23872596.343134	A0ABM8C2J5	AlkB	5.22e-28	100.0	92.3	52		Massilia	Massilia varians	UniProt
SRR23872596.344009	A0A1S9RVN2	Cutinase_like	6.13e-20	79.7	63.0	54		Penicillium	Penicillium brasilianum	UniProt
SRR23872596.344468	A0A1E3LRC3	AlkB	5.92e-17	71.2	62.0	50		Sphingomonas	Sphingomonas turrisvirgatae	UniProt
SRR23872596.345088	K2RTV3	Cutinase_like	1.76e-12	58.5	52.0	50		Macrophomina	Macrophomina phaseolina (strain MS6) (Charcoal rot fungus)	UniProt
SRR23872596.345581	G1C7H9	AlkB	3.59e-10	52.0	50.0	52		Alcanivorax	Alcanivorax hongdengensis	UniProt
SRR23872596.348691	A0A0P9CMX4	AlkB	1.22e-14	64.7	56.6	53		Alicyclobacillus	Alicyclobacillus ferrooxydans	UniProt
SRR23872596.348971	A0ABR5J5T3	AlkB	6.26e-09	48.5	46.2	52		Streptomyces	Streptomyces varsoviensis	UniProt
SRR23872596.350027	A0A254U084	Cutinase_like	1.03e-07	45.1	40.4	52		Aspergillus	Aspergillus niger	UniProt
SRR23872596.354808	A0A922NQS1	Cutinase_like	3.27e-09	49.3	39.2	51		Pyrenophora	Pyrenophora tritici-repentis	UniProt
SRR23872596.355837	A0ABV3PHS6	AlkB	4.64e-25	90.5	73.1	52		Labrys	Labrys neptuniae	UniProt
SRR23872596.356504	A0AAN5C2R9	Cutinase_like	3.04e-14	63.5	54.9	51		Aspergillus	Aspergillus oryzae (Yellow koji mold)	UniProt
SRR23872596.358457	A0A1E7LQY9	AlkB	5.38e-11	54.3	51.0	51		Streptomyces	Streptomyces nanshensis	UniProt
