protein_id	family
A0A3D9SUJ1	PETase_like
A0A3D9SVD4	PETase_like
A0A3N0E3M2	PETase_like
A0A3N0EHU6	PETase_like
A0A3N1CRP0	PETase_like
A0A3N1D7Y0	PETase_like
A0A438MM65	PETase_like
A0A4R4N608	PETase_like
A0A4R4NB20	PETase_like
A0A4R4W6Q2	PETase_like
A0A4R4ZDD0	PETase_like
A0A4R5ARP1	PETase_like
A0A4R5FXI3	PETase_like
A0A4R6UW92	PETase_like
A0A4R6V0N6	PETase_like
A0A4U3MI12	PETase_like
A0A4V2XJ75	PETase_like
A0A4V2YA86	PETase_like
A0A4V2YB24	PETase_like
A0A543CJP3	PETase_like
A0A543IKT7	PETase_like
A0A544Z467	PETase_like
A0A5C4J1R7	PETase_like
A0A5C4VLV1	PETase_like
A0A5C4WSK7	PETase_like
A0A5J5K6L1	PETase_like
A0A5M3W626	PETase_like
A0A5M3X7T2	PETase_like
A0A5M3XC53	PETase_like
A0A5N6B6N8	PETase_like
A0A5S4FJI0	PETase_like
A0A5S4G823	PETase_like
A0A5S4GNH7	PETase_like
A0A5S4H3R9	PETase_like
A0A6H9YZG5	PETase_like
A0A6I4MG66	PETase_like
A0A6I4VZW1	PETase_like
A0A6I4W489	PETase_like
A0A6I4W6E8	PETase_like
A0A6I4W9J4	PETase_like
A0A6I4WCS2	PETase_like
A0A6I4WH26	PETase_like
A0A6L3W3E9	PETase_like
A0A6L9QSN6	PETase_like
A0A6L9QWC7	PETase_like
A0A6L9QZF0	PETase_like
A0A6P2BTG6	PETase_like
A0A7C9NKH2	PETase_like
A0A7D3VX47	PETase_like
A0A7D3W2P3	PETase_like
A0A7K0BNG8	PETase_like
A0A7K0BW34	PETase_like
A0A7K0BW49	PETase_like
A0A7K0BXG1	PETase_like
A0A7K0BY86	PETase_like
A0A7K0BYW6	PETase_like
A0A7K0C0L9	PETase_like
A0A7W0CGN6	PETase_like
A0A7W0CJQ8	PETase_like
A0A7W0CKZ2	PETase_like
A0A7W0HRK2	PETase_like
A0A7W0HTY1	PETase_like
A0A7W3LQR6	PETase_like
A0A7W3LQW1	PETase_like
A0A7W3LR11	PETase_like
A0A7W3LXJ4	PETase_like
A0A7W3MTE8	PETase_like
A0A7W3MTQ6	PETase_like
A0A7W3MYU4	PETase_like
A0A7W3N2I8	PETase_like
A0A7W3R6L2	PETase_like
A0A7W5VR51	PETase_like
A0A7W7IIG7	PETase_like
A0A7W7QPZ7	PETase_like
A0A7W7RIU6	PETase_like
A0A7W7RNW4	PETase_like
A0A7W7VS92	PETase_like
A0A7W7W8Y9	PETase_like
A0A7W8AD49	PETase_like
A0A7W8EHH8	PETase_like
A0A7W9GDV7	PETase_like
A0A7W9GH83	PETase_like
A0A7W9IBT4	PETase_like
A0A7W9IC21	PETase_like
A0A7W9IMV4	PETase_like
A0A7W9LAQ6	PETase_like
A0A7X0EVU5	PETase_like
A0A7X0L0G3	PETase_like
A0A7X0U3W9	PETase_like
A0A7X0U566	PETase_like
A0A7X6RRV0	PETase_like
A0A7Y6I7B0	PETase_like
A0A7Y6MCQ0	PETase_like
A0A7Y6MET4	PETase_like
A0A7Y9EM44	PETase_like
A0A7Y9GI10	PETase_like
A0A7Y9KFU4	PETase_like
A0A7Y9XCA4	PETase_like
A0A7Z0ENR9	PETase_like
A0A7Z0ET41	PETase_like
A0A7Z0JAZ5	PETase_like
A0A840NXT3	PETase_like
A0A840P2P8	PETase_like
A0A840WFK4	PETase_like
A0A841DCU0	PETase_like
A0A841ED77	PETase_like
A0A846ZBK9	PETase_like
A0A846ZDK3	PETase_like
A0A852TYE9	PETase_like
A0A852V791	PETase_like
A0A853BQM0	PETase_like
A0A8H9GVK2	PETase_like
A0A8H9LKD0	PETase_like
A0A8J3PRQ9	PETase_like
A0A8J3RZU3	PETase_like
A0A8J3S661	PETase_like
A0A8J3T081	PETase_like
A0A8J3TJ48	PETase_like
A0A8J3U475	PETase_like
A0A8J3V6L7	PETase_like
A0A8J3W4U6	PETase_like
A0A8J3W5P3	PETase_like
A0A8J3WQI5	PETase_like
A0A8J3X7Y9	PETase_like
A0A8J3XMP6	PETase_like
A0A917Z115	PETase_like
A0A918DIC6	PETase_like
A0A918XC99	PETase_like
A0A919UR82	PETase_like
A0A931AKC4	PETase_like
A0A931F5V8	PETase_like
A0A931GV53	PETase_like
A0A939PI20	PETase_like
A0A939PKG5	PETase_like
A0A939TAR4	PETase_like
A0A975LD17	PETase_like
A0A9P2TBN9	PETase_like
A0A9P2WRG3	PETase_like
A0A9W6UXL5	PETase_like
A0A9X2K0A4	PETase_like
A0A9X2K5K6	PETase_like
A0A9X2K9B4	PETase_like
A0A9X3NJC1	PETase_like
A0A9X7PFK9	PETase_like
A0A9Y2YA38	PETase_like
A0AA37BLQ4	PETase_like
A0AA97LXT2	PETase_like
A0AA97M4A3	PETase_like
D1A2H1	PETase_like
D1A2K6	PETase_like
D1A646	PETase_like
D1A9G5	PETase_like
D2B3P3	PETase_like
D2B3R3	PETase_like
D2B6W3	PETase_like
D2BF75	PETase_like
D2BFB4	PETase_like
D7AYZ5	PETase_like
E5BBQ2	PETase_like
E9LVH7	PETase_like
H6WX58	PETase_like
Q6A0I3	PETase_like
A0A3D9SLY3	PETase_like
A0A7W7N125	PETase_like
A0A8H9LH03	PETase_like
A0A0K8P8E7	MHETase_like
A0A2Z2P0Q7	MHETase_like
A0A1X1PM24	MHETase_like
A0A221JW97	MHETase_like
A0A222E0D5	MHETase_like
A0A2N7W7Z2	MHETase_like
A0A2N7WIJ2	MHETase_like
A0A2N7WT19	MHETase_like
A0A2R8CAB2	MHETase_like
A0A2R8CG46	MHETase_like
A0A2R8CH46	MHETase_like
A0A508SWH9	MHETase_like
A0A554WIU4	MHETase_like
A0A5E6YM10	MHETase_like
A0A5E6YN35	MHETase_like
A0A5J4RG58	MHETase_like
A0A5J4RMF3	MHETase_like
A0A5M8NZN6	MHETase_like
A0A679IV36	MHETase_like
A0A679JAU7	MHETase_like
A0A679JF94	MHETase_like
A0A679JIX2	MHETase_like
A0A679JQL4	MHETase_like
A0A679JSQ1	MHETase_like
A0A6J4ZUJ9	MHETase_like
A0A6J4ZXS4	MHETase_like
A0A6J5AHH5	MHETase_like
A0A6J5B0A2	MHETase_like
A0A6J5BKP3	MHETase_like
A0A6J5CDR5	MHETase_like
A0A6J5CN90	MHETase_like
A0A6J5DFN4	MHETase_like
A0A6J5F6R0	MHETase_like
A0A6J5F7D9	MHETase_like
A0A6J5FRN3	MHETase_like
A0A6J5FSP4	MHETase_like
A0A6J5FX66	MHETase_like
A0A6J5GJP1	MHETase_like
A0A6J5GMP7	MHETase_like
A0A6J5K194	MHETase_like
A0A6J5K7F0	MHETase_like
A0A6J5KA99	MHETase_like
A0A6J5KBT9	MHETase_like
A0A6S7AZ84	MHETase_like
A0A6S7B2U3	MHETase_like
A0A6S7BQ61	MHETase_like
A0A6V7C0V6	MHETase_like
A0A7K0BXE1	MHETase_like
A0A7K0C3G9	MHETase_like
A0A7V8FLJ6	MHETase_like
A0A7V8FMZ1	MHETase_like
A0A7V8FRR3	MHETase_like
A0A7V8FSD0	MHETase_like
A0A833PRI7	MHETase_like
A0A833V490	MHETase_like
A0A8B6IV45	MHETase_like
A0A8D6Y728	MHETase_like
A0A916IWZ2	MHETase_like
A0A916IYK8	MHETase_like
A0A916J7N6	MHETase_like
A0A916JIF2	MHETase_like
A0A9N8MRT6	MHETase_like
A0A9N8MST5	MHETase_like
A0A9N8RXC7	MHETase_like
A0A9P0UZZ8	MHETase_like
A0AA37HC32	MHETase_like
A0AA37M8P3	MHETase_like
A0AAD2BXW6	MHETase_like
A0AAD2EFU0	MHETase_like
A0AAD2ENM4	MHETase_like
A0AAI8PT37	MHETase_like
A0AAQ0NAT2	MHETase_like
A0AB72X3F8	MHETase_like
A0ABC8Q7J3	MHETase_like
A0ABM8NLC2	MHETase_like
A0ABM8NWG4	MHETase_like
A0ABM8P114	MHETase_like
A0ABM8QDP5	MHETase_like
A0ABM8RV28	MHETase_like
A0ABM8SI20	MHETase_like
A0ABM8SWU5	MHETase_like
A0ABM8TRW1	MHETase_like
A0ABM8TU52	MHETase_like
A0ABM8U027	MHETase_like
A0ABM8WC33	MHETase_like
A0ABM9C468	MHETase_like
A0ABM9IH72	MHETase_like
A0ABN7I7H8	MHETase_like
A0ABN7LAU6	MHETase_like
A0ABN7LBG2	MHETase_like
A0ABN7LCU1	MHETase_like
A0ABN7LKU4	MHETase_like
A0ABN7MV77	MHETase_like
A0ABN7N5U9	MHETase_like
A0ABN7Y2E8	MHETase_like
A0ABN7Y5P6	MHETase_like
A0ABN7YA11	MHETase_like
A0ABN7YNI5	MHETase_like
A0ABN7ZQU5	MHETase_like
A0ABN9IQH8	MHETase_like
A0ABQ4QT49	MHETase_like
A0ABQ4SDE2	MHETase_like
A0ABT3DXJ5	MHETase_like
A0ABU2E1S4	MHETase_like
A0ABU2E3P5	MHETase_like
A0ABX6CDP8	MHETase_like
A0A024SC78	Cutinase_like
A0A2J8C362	Cutinase_like
A6WFI5	Cutinase_like
O06319	Cutinase_like
O53581	Cutinase_like
P00590	Cutinase_like
P0DX29	Cutinase_like
P11373	Cutinase_like
P52956	Cutinase_like
P9WP43	Cutinase_like
Q5AVY9	Cutinase_like
A8QPD8	Cutinase_like
B9U443	Cutinase_like
G4MZV6	Cutinase_like
O07801	Cutinase_like
P10951	Cutinase_like
P86010	Cutinase_like
P9WP41	Cutinase_like
Q00298	Cutinase_like
Q5AX00	Cutinase_like
Q79FA4	Cutinase_like
Q9Y7G8	Cutinase_like
A0A017SIZ4	Cutinase_like
A0A074YWU9	Cutinase_like
A0A090MGW0	Cutinase_like
A0A098DTU5	Cutinase_like
A0A0A2JE47	Cutinase_like
A0A0B7K9D6	Cutinase_like
A0A0C4DM00	Cutinase_like
A0A0F4GU40	Cutinase_like
A0A0F4YEY0	Cutinase_like
A0A0F9X9J5	Cutinase_like
A0A0G2E261	Cutinase_like
A0A0G2IG14	Cutinase_like
A0A0G4LDC1	Cutinase_like
A0A0G4NIC6	Cutinase_like
A0A0G4PUR7	Cutinase_like
A0A0J9VK42	Cutinase_like
A0A0L1J803	Cutinase_like
A0A0M8P7D6	Cutinase_like
A0A0M9F2Q6	Cutinase_like
A0A0W0GAT5	Cutinase_like
A0A100IIR3	Cutinase_like
A0A100IKI7	Cutinase_like
A0A101MR00	Cutinase_like
A0A135LXQ5	Cutinase_like
A0A135S481	Cutinase_like
A0A136J6A4	Cutinase_like
A0A139H225	Cutinase_like
A0A146FG51	Cutinase_like
A0A167XND6	Cutinase_like
A0A194W0G6	Cutinase_like
A0A1B5L1F9	Cutinase_like
A0A1B8B4L3	Cutinase_like
A0A1C3YIV2	Cutinase_like
A0A1E3BKU6	Cutinase_like
A0A1F5LFA5	Cutinase_like
A0A1F7ZNN2	Cutinase_like
A0A1J9RZ58	Cutinase_like
A0A1J9S341	Cutinase_like
A0A1L7TWJ2	Cutinase_like
A0A1L7V3S0	Cutinase_like
A0A1L9NKL0	Cutinase_like
A0A1M3TC72	Cutinase_like
A0A1R3RAC0	Cutinase_like
A0A1S9RVN2	Cutinase_like
A0A1V6NJN1	Cutinase_like
A0A1V6Q0G8	Cutinase_like
A0A1V6RKG7	Cutinase_like
A0A1V6TCM4	Cutinase_like
A0A1V6TXJ4	Cutinase_like
A0A1V6YEY5	Cutinase_like
A0A1V6YI47	Cutinase_like
A0A1V8TUH0	Cutinase_like
A0A1Y6L6D1	Cutinase_like
A0A1Z5SLJ0	Cutinase_like
A0A1Z5T029	Cutinase_like
A0A1Z5TB42	Cutinase_like
A0A1Z5TJQ9	Cutinase_like
A0A1Z5TTD0	Cutinase_like
A0A2H1FN55	Cutinase_like
A0A2H3HRH4	Cutinase_like
A0A2H3SV99	Cutinase_like
A0A2I2G3D5	Cutinase_like
A0A2I2GLW0	Cutinase_like
A0A2J6QV25	Cutinase_like
A0A2K0W6I5	Cutinase_like
A0A2K1QGH0	Cutinase_like
A0A2L2T3Q7	Cutinase_like
A0A2P5HJM6	Cutinase_like
A0A2P7YEU1	Cutinase_like
A0A2T2NE53	Cutinase_like
A0A2T3ACM7	Cutinase_like
A0A2T4HAI9	Cutinase_like
A0A2U3DZK7	Cutinase_like
A0A2W1DFW0	Cutinase_like
A0A317X6E5	Cutinase_like
A0A318ZBM0	Cutinase_like
A0A319C9I2	Cutinase_like
A0A319CBV2	Cutinase_like
A0A364N0H4	Cutinase_like
A0A365MS55	Cutinase_like
A0A366SC12	Cutinase_like
A0A395GHT6	Cutinase_like
A0A395MZH9	Cutinase_like
A0A395RJW9	Cutinase_like
A0A395RVG2	Cutinase_like
A0A3D8RFV8	Cutinase_like
A0A3D8RKW1	Cutinase_like
A0A3L6P5M3	Cutinase_like
A0A3M6XC17	Cutinase_like
A0A3M6XLZ0	Cutinase_like
A0A3M6YBD7	Cutinase_like
A0A3M6YXB7	Cutinase_like
A0A3M6ZB58	Cutinase_like
A0A3M6ZKJ9	Cutinase_like
A0A3M6ZVB5	Cutinase_like
A0A3M6ZZL0	Cutinase_like
A0A3M7B868	Cutinase_like
A0A3M7BKV3	Cutinase_like
A0A3M7C1E9	Cutinase_like
A0A3M7CCN9	Cutinase_like
A0A3M7CVQ4	Cutinase_like
A0A3M7DBF4	Cutinase_like
A0A3M7DRG9	Cutinase_like
A0A3M7EE03	Cutinase_like
A0A3M7EGK9	Cutinase_like
A0A3M7EGY9	Cutinase_like
A0A3M7ER26	Cutinase_like
A0A3M7EV30	Cutinase_like
A0A3M7EW33	Cutinase_like
A0A3M7FWR3	Cutinase_like
A0A3M7G418	Cutinase_like
A0A3M7G5Y6	Cutinase_like
A0A3M7GYY0	Cutinase_like
A0A3M7H0Y5	Cutinase_like
A0A3M7H8I0	Cutinase_like
A0A3M7HCW0	Cutinase_like
A0A3M7HEC2	Cutinase_like
A0A3M7I6P1	Cutinase_like
A0A3M7IG51	Cutinase_like
A0A3M7ILY7	Cutinase_like
A0A3M7J4W4	Cutinase_like
A0A3M7J8F3	Cutinase_like
A0A3M7JBW5	Cutinase_like
A0A420NRT6	Cutinase_like
A0A420PQY5	Cutinase_like
A0A420SFI8	Cutinase_like
A0A4E9ENN3	Cutinase_like
A0A4Q2W9R9	Cutinase_like
A0A4Q4SSH7	Cutinase_like
A0A4S3JLE8	Cutinase_like
A0A4S8SEH4	Cutinase_like
A0A4S8Z703	Cutinase_like
A0A4S9EN84	Cutinase_like
A0A4S9M012	Cutinase_like
A0A4S9T109	Cutinase_like
A0A4S9WUN2	Cutinase_like
A0A4S9X5S7	Cutinase_like
A0A4T0BKX6	Cutinase_like
A0A4T0CU86	Cutinase_like
A0A4U0TJQ6	Cutinase_like
A0A4U0TZC6	Cutinase_like
A0A4U0UB91	Cutinase_like
A0A4U7AP53	Cutinase_like
A0A4U9ER75	Cutinase_like
A0A4V1C7S7	Cutinase_like
A0A4V4IBG3	Cutinase_like
A0A4Z1P3T0	Cutinase_like
A0A4Z1PCH0	Cutinase_like
A0A4Z1PSH0	Cutinase_like
A0A507DBT8	Cutinase_like
A0A517L0X3	Cutinase_like
A0A517L5J7	Cutinase_like
A0A517LCX5	Cutinase_like
A0A559L1V9	Cutinase_like
A0A559LAJ7	Cutinase_like
A0A5C6STW8	Cutinase_like
A0A5C6SYS2	Cutinase_like
A0A5N5DA88	Cutinase_like
A0A5N6HAQ8	Cutinase_like
A0A5N6JC83	Cutinase_like
A0A5N6TL99	Cutinase_like
A0A5N6TT50	Cutinase_like
A0A6A5UD25	Cutinase_like
A0A6A6D350	Cutinase_like
A0A6A6HWJ1	Cutinase_like
A0A6A6U7K6	Cutinase_like
A0A6G1FWJ7	Cutinase_like
A0A6G1G4Q1	Cutinase_like
A0A6G1GIT3	Cutinase_like
A0A6G1GLJ4	Cutinase_like
A0A6G1HNA7	Cutinase_like
A0A6G1HPA6	Cutinase_like
A0A6G1HPJ6	Cutinase_like
A0A6G1HY92	Cutinase_like
A0A7R7VRR7	Cutinase_like
A0A7R8AV91	Cutinase_like
A0A7S8DEY3	Cutinase_like
A0A7S8HWX6	Cutinase_like
A0A8H3U1M3	Cutinase_like
A0A8H3UAV2	Cutinase_like
A0A8H3YS28	Cutinase_like
A0A8H4IJF8	Cutinase_like
A0A8H4JVP4	Cutinase_like
A0A8H4NUW8	Cutinase_like
A0A8H4T9L9	Cutinase_like
A0A8H4W4A3	Cutinase_like
A0A8H4XA55	Cutinase_like
A0A8H4XJC8	Cutinase_like
A0A8H4ZF68	Cutinase_like
A0A8H5J756	Cutinase_like
A0A8H5N0Q8	Cutinase_like
A0A8H5NLG4	Cutinase_like
A0A8H5PKL4	Cutinase_like
A0A8H5PLW9	Cutinase_like
A0A8H5PSX2	Cutinase_like
A0A8H5RCN8	Cutinase_like
A0A8H5TEQ3	Cutinase_like
A0A8H5TLN7	Cutinase_like
A0A8H5XLF4	Cutinase_like
A0A8H5Y177	Cutinase_like
A0A8H5YXE2	Cutinase_like
A0A8H6H2G3	Cutinase_like
A0A8H6PSV7	Cutinase_like
A0A8J5UIJ5	Cutinase_like
A0A8J8WJ12	Cutinase_like
A0A8K0KT85	Cutinase_like
A0A8K0L9X3	Cutinase_like
A0A8K0SA54	Cutinase_like
A0A8T8X6B2	Cutinase_like
A0A9N8RI59	Cutinase_like
A0A9N9KM89	Cutinase_like
A0A9N9LCP2	Cutinase_like
A0A9N9LRE3	Cutinase_like
A0A9N9Z0X0	Cutinase_like
A0A9P4MID0	Cutinase_like
A0A9P4NHA4	Cutinase_like
A0A9P4TBT9	Cutinase_like
A0A9P5ACS9	Cutinase_like
A0A9P5EHM8	Cutinase_like
A0A9P5L653	Cutinase_like
A0A9P7KW54	Cutinase_like
A0A9P7LFQ5	Cutinase_like
A0A9P7RJB1	Cutinase_like
A0A9P8DRL3	Cutinase_like
A0A9P8E8T0	Cutinase_like
A0A9P8EEX7	Cutinase_like
A0A9P9DWD9	Cutinase_like
A0A9P9EQT6	Cutinase_like
A0A9P9KYD7	Cutinase_like
A0A9Q8L8Z2	Cutinase_like
A0A9Q8WKU3	Cutinase_like
A0A9Q8ZJB9	Cutinase_like
A0A9Q9ELL9	Cutinase_like
A0A9W4HGM8	Cutinase_like
A0A9W4INT3	Cutinase_like
A0A9W4NNB5	Cutinase_like
A0A9W4NXG0	Cutinase_like
A0A9W7W322	Cutinase_like
A0A9W8U9A6	Cutinase_like
A0A9W8VH35	Cutinase_like
A0A9W8YPH7	Cutinase_like
A0A9W9CDB1	Cutinase_like
A0A9W9NLH8	Cutinase_like
A0A9W9R2N0	Cutinase_like
A0A9W9RN59	Cutinase_like
A0A9W9S8F5	Cutinase_like
A0A9W9VSU7	Cutinase_like
A0A9W9XHG1	Cutinase_like
A0AA40CGM9	Cutinase_like
A0AA97NN23	Cutinase_like
A0AA97PFW6	Cutinase_like
A0AAD6IF84	Cutinase_like
A0AAD6Z6D0	Cutinase_like
A0AAD9S5E7	Cutinase_like
A0AAE0DRB7	Cutinase_like
A0AAE8M8L2	Cutinase_like
A0AAN5C2R9	Cutinase_like
A0AAN5Z264	Cutinase_like
A0AAN5Z703	Cutinase_like
A0AAN7CMV1	Cutinase_like
A0AAV9JXN6	Cutinase_like
A0AAW0CSE7	Cutinase_like
A1C9G0	Cutinase_like
A1CSZ4	Cutinase_like
A1CVT3	Cutinase_like
A1D9W1	Cutinase_like
A1DGN0	Cutinase_like
A2R2W3	Cutinase_like
A5ABE6	Cutinase_like
B0XRY3	Cutinase_like
B0Y537	Cutinase_like
B0YEP5	Cutinase_like
B2W6J7	Cutinase_like
B6H2E9	Cutinase_like
B6H497	Cutinase_like
B6HLS9	Cutinase_like
B8MVS3	Cutinase_like
B8NBB2	Cutinase_like
B8NCM8	Cutinase_like
C8VJF5	Cutinase_like
F0UXS0	Cutinase_like
F9FSI0	Cutinase_like
G0RH85	Cutinase_like
G3Y192	Cutinase_like
G4MR24	Cutinase_like
I1RD78	Cutinase_like
K1X9E7	Cutinase_like
K3V1C0	Cutinase_like
L7J281	Cutinase_like
L7J6Z8	Cutinase_like
N1QM35	Cutinase_like
N1RGI5	Cutinase_like
N1S459	Cutinase_like
N4UMM6	Cutinase_like
O06793	Cutinase_like
P29292	Cutinase_like
P30272	Cutinase_like
P41744	Cutinase_like
P86011	Cutinase_like
P86012	Cutinase_like
P9WP39	Cutinase_like
Q0CD01	Cutinase_like
Q0CES4	Cutinase_like
Q0CNE3	Cutinase_like
Q0CRP4	Cutinase_like
Q0CW01	Cutinase_like
Q2GRL9	Cutinase_like
Q2TZY7	Cutinase_like
Q2U199	Cutinase_like
Q2UIR7	Cutinase_like
Q4W9Z4	Cutinase_like
Q4WQV2	Cutinase_like
Q4X078	Cutinase_like
Q4X1N0	Cutinase_like
Q5B2C1	Cutinase_like
Q8TGB8	Cutinase_like
Q8X1P1	Cutinase_like
Q96US9	Cutinase_like
Q96UT0	Cutinase_like
Q99174	Cutinase_like
R1E5S6	Cutinase_like
S0DK74	Cutinase_like
S7ZH20	Cutinase_like
W6YHF0	Cutinase_like
W7MFN3	Cutinase_like
W9HHG6	Cutinase_like
W9QA39	Cutinase_like
X0ARD0	Cutinase_like
X0CGW5	Cutinase_like
X0J6T4	Cutinase_like
X0JSG5	Cutinase_like
X0K8L2	Cutinase_like
X0M6F0	Cutinase_like
A0A010QTQ3	Cutinase_like
A0A010R3Q4	Cutinase_like
A0A010R5E9	Cutinase_like
A0A010R6X3	Cutinase_like
A0A010R9F3	Cutinase_like
A0A010RDM7	Cutinase_like
A0A010RJG3	Cutinase_like
A0A010RK56	Cutinase_like
A0A010RP15	Cutinase_like
A0A010RZ63	Cutinase_like
A0A010S1G8	Cutinase_like
A0A017SR61	Cutinase_like
A0A022WBE8	Cutinase_like
A0A022Y153	Cutinase_like
A0A024GMV3	Cutinase_like
A0A024GN06	Cutinase_like
A0A024JTF6	Cutinase_like
A0A024JU36	Cutinase_like
A0A024JZ96	Cutinase_like
A0A024K045	Cutinase_like
A0A024K1J3	Cutinase_like
A0A045I980	Cutinase_like
A0A045IUI5	Cutinase_like
A0A045JP48	Cutinase_like
A0A051TX00	Cutinase_like
A0A051TYS7	Cutinase_like
A0A051TZ01	Cutinase_like
A0A051TZR1	Cutinase_like
A0A051UHZ2	Cutinase_like
A0A051UJC5	Cutinase_like
A0A059IWT4	Cutinase_like
A0A060C266	Cutinase_like
A0A060C918	Cutinase_like
A0A060N399	Cutinase_like
A0A061HJ38	Cutinase_like
A0A064CDI5	Cutinase_like
A0A064CEV6	Cutinase_like
A0A064CJ86	Cutinase_like
A0A064CL80	Cutinase_like
A0A064CU79	Cutinase_like
A0A066X6Y1	Cutinase_like
A0A066X9H2	Cutinase_like
A0A066XGI5	Cutinase_like
A0A066XJ83	Cutinase_like
A0A066XMZ7	Cutinase_like
A0A066XSB0	Cutinase_like
A0A067SEL3	Cutinase_like
A0A072P3V7	Cutinase_like
A0A072P7E8	Cutinase_like
A0A074VI29	Cutinase_like
A0A074VMH2	Cutinase_like
A0A074VXP7	Cutinase_like
A0A074VYM4	Cutinase_like
A0A074WEU8	Cutinase_like
A0A074WV15	Cutinase_like
A0A074X7D5	Cutinase_like
A0A074XQ42	Cutinase_like
A0A074XR69	Cutinase_like
A0A074Y6G0	Cutinase_like
A0A074YN08	Cutinase_like
A0A074YNX7	Cutinase_like
A0A074ZMS0	Cutinase_like
A0A075B5G4	Cutinase_like
A0A077RE54	Cutinase_like
A0A081CLD2	Cutinase_like
A0A084AHL1	Cutinase_like
A0A084AL35	Cutinase_like
A0A084BAL1	Cutinase_like
A0A084G866	Cutinase_like
A0A084Q841	Cutinase_like
A0A084QJR0	Cutinase_like
A0A084QZS1	Cutinase_like
A0A086T249	Cutinase_like
A0A086T7K5	Cutinase_like
A0A086T8J0	Cutinase_like
A0A086TG01	Cutinase_like
A0A093UM80	Cutinase_like
A0A098BM79	Cutinase_like
A0A098BPQ8	Cutinase_like
A0A098D6N4	Cutinase_like
A0A0A0BDC9	Cutinase_like
A0A0A1SYU9	Cutinase_like
A0A0A1TEW1	Cutinase_like
A0A0A1TLW5	Cutinase_like
A0A0A1V6J6	Cutinase_like
A0A0A2L940	Cutinase_like
A0A0A2V0J3	Cutinase_like
A0A0A2VAB0	Cutinase_like
A0A0A2VVV6	Cutinase_like
A0A0A2VZV0	Cutinase_like
A0A0B1NYS5	Cutinase_like
A0A0B1P9F8	Cutinase_like
A0A0B1PBN3	Cutinase_like
A0A0B1PIM5	Cutinase_like
A0A0B2WK48	Cutinase_like
A0A0B4F0S6	Cutinase_like
A0A0B4FNY4	Cutinase_like
A0A0B4GYH9	Cutinase_like
A0A0B7JU22	Cutinase_like
A0A0B7JVP3	Cutinase_like
A0A0B7K0A1	Cutinase_like
A0A0B7K0H9	Cutinase_like
A0A0B7K8S3	Cutinase_like
A0A0B7KDD7	Cutinase_like
A0A0B7KHH0	Cutinase_like
