genus1	genus2	similarity
Acetobacteraceae	Oceanococcus	1.0
Acetobacteraceae	Oleomonas	1.0
Acetobacteraceae	Paenibacillus	0.9943849008380186
Acetobacteraceae	Panacagrimonas	1.0
Acetobacteraceae	Paracoccus	1.0
Acetobacteraceae	Paracraurococcus	1.0
Acetobacteraceae	Parafrankia	1.0
Acetobacteraceae	Paraperlucidibaca	1.0
Acetobacteraceae	Pedobacter	1.0
Acetobacteraceae	Pelomonas	1.0
Acetobacteraceae	Peribacillus	1.0
Acetobacteraceae	Phenylobacterium	1.0
Acetobacteraceae	Phnomibacter	1.0
Acetobacteraceae	Phyllobacterium	1.0
Acetobacteraceae	Phytohabitans	1.0
Acetobacteraceae	Planctomyces	1.0
Acetobacteraceae	Planobispora	1.0
Acetobacteraceae	Polaromonas	1.0
Acetobacteraceae	Prauserella	1.0
Acetobacteraceae	Pseudarthrobacter	1.0
Acetobacteraceae	Pseudofrankia	0.9934039920387389
Acetobacteraceae	Pseudogemmobacter	1.0
Acetobacteraceae	Pseudorhodoferax	1.0
Acetobacteraceae	Pseudoroseicyclus	1.0
Acetobacteraceae	Pueribacillus	1.0
Acetobacteraceae	Pullulanibacillus	1.0
Acetobacteraceae	Rahnella	1.0
Acetobacteraceae	Ramlibacter	1.0
Acetobacteraceae	Raoultella	1.0
Acetobacteraceae	Rathayibacter	1.0
Acetobacteraceae	Reyranella	1.0
Acetobacteraceae	Rhizobium	0.9921033641374599
Acetobacteraceae	Rhodanobacter	1.0
Acetobacteraceae	Rhodococcus	0.8432703738206657
Acetobacteraceae	Rhodoferax	1.0
Acetobacteraceae	Rhodopila	1.0
Acetobacteraceae	Rivibacter	1.0
Acetobacteraceae	Roseicella	1.0
Acetobacteraceae	Roseitalea	1.0
Acetobacteraceae	Roseivirga	1.0
Acetobacteraceae	Roseomonas	1.0
Acetobacteraceae	Saccharomonospora	1.0
Acetobacteraceae	Salinarimonas	1.0
Acetobacteraceae	Saliniramus	1.0
Acetobacteraceae	Serinicoccus	1.0
Acetobacteraceae	Serratia	1.0
Acetobacteraceae	Silvimonas	1.0
Acetobacteraceae	Sinimarinibacterium	1.0
Acetobacteraceae	Sinorhizobium	1.0
Acetobacteraceae	Solimonas	1.0
Acetobacteraceae	Sorangium	1.0
Acetobacteraceae	Spectribacter	1.0
Acetobacteraceae	Sphingobium	1.0
Acetobacteraceae	Sphingomonas	0.9983687759654895
Acetobacteraceae	Sphingopyxis	1.0
Acetobacteraceae	Stagnihabitans	1.0
Acetobacteraceae	Stagnimonas	1.0
Acetobacteraceae	Stenotrophomonas	1.0
Acetobacteraceae	Streptomonospora	1.0
Acetobacteraceae	Streptomyces	0.9990536105975776
Acetobacteraceae	Tabrizicola	1.0
Acetobacteraceae	Tahibacter	1.0
Acetobacteraceae	Tessaracoccus	1.0
Acetobacteraceae	Thermomonas	1.0
Acetobacteraceae	Thioclava	0.7071067811865476
Acetobacteraceae	Tistrella	1.0
Acetobacteraceae	Tsukamurella	1.0
Acetobacteraceae	Tsuneonella	1.0
Acetobacteraceae	Umezawaea	1.0
Acetobacteraceae	Vitis	1.0
Acetobacteraceae	Vulcanimicrobium	1.0
Acetobacteraceae	Wenjunlia	1.0
Acetobacteraceae	Williamsia	1.0
Acetobacteraceae	Xaviernesmea	1.0
Acetobacteraceae	bacterium	1.0
Acetobacteraceae	uncultured	1.0
Achromobacter	Acidovorax	1.0
Achromobacter	Actinoplanes	1.0
Achromobacter	Aeromicrobium	1.0
Achromobacter	Agarivorans	1.0
Achromobacter	Agrobacterium	1.0
Achromobacter	Alcanivorax	1.0
Achromobacter	Alicyclobacillus	1.0
Achromobacter	Aliigemmobacter	1.0
Achromobacter	Aliivibrio	1.0
Achromobacter	Alkalisalibacterium	1.0
Achromobacter	Amycolatopsis	0.7071067811865476
Achromobacter	Ancylobacter	1.0
Achromobacter	Aquabacterium	0.9217833643394758
Achromobacter	Arenimonas	1.0
Achromobacter	Arthrobacter	1.0
Achromobacter	Aureimonas	1.0
Achromobacter	Bacillus	1.0
Achromobacter	Blastomonas	1.0
Achromobacter	Bordetella	1.0
Achromobacter	Bosea	1.0
Achromobacter	Brachybacterium	1.0
Achromobacter	Bradyrhizobium	0.9903555664581378
Achromobacter	Brevibacillus	1.0
Achromobacter	Brevibacterium	1.0
Achromobacter	Brevundimonas	1.0
Achromobacter	Burkholderia	0.9724500508595081
Achromobacter	Caenimonas	1.0
Achromobacter	Caenorhabditis	1.0
Achromobacter	Caldovatus	1.0
Achromobacter	Candidatus	0.914618385976984
Achromobacter	Carbonactinospora	1.0
Achromobacter	Cereibacter	1.0
Achromobacter	Chelatococcus	1.0
Achromobacter	Chitiniphilus	1.0
Achromobacter	Clavibacter	1.0
Achromobacter	Cognatilysobacter	1.0
Achromobacter	Cohnella	1.0
Achromobacter	Corynebacterium	0.9752314881306815
Achromobacter	Crenothrix	1.0
Achromobacter	Cupriavidus	0.7071067811865476
Achromobacter	Curtobacterium	1.0
Achromobacter	Curvibacter	1.0
Achromobacter	Cypionkella	1.0
Achromobacter	Delftia	1.0
Achromobacter	Dietzia	1.0
Achromobacter	Dyadobacter	1.0
Achromobacter	Echinicola	0.7071067811865476
Achromobacter	Ensifer	1.0
Achromobacter	Enterobacter	1.0
Achromobacter	Entotheonella	1.0
Achromobacter	Fistulifera	1.0
Achromobacter	Flavihumibacter	1.0
Achromobacter	Flavisolibacter	1.0
Achromobacter	Flavobacterium	1.0
Achromobacter	Fluviicoccus	1.0
Achromobacter	Fontibacter	1.0
Achromobacter	Fulvivirga	1.0
Achromobacter	Galdieria	1.0
Achromobacter	Geopseudomonas	1.0
Achromobacter	Glutamicibacter	1.0
Achromobacter	Gordonia	0.9982427872688735
Achromobacter	Haloarcula	1.0
Achromobacter	Haloprofundus	1.0
Achromobacter	Halopseudomonas	1.0
Achromobacter	Halorubrum	1.0
Achromobacter	Hansschlegelia	1.0
Achromobacter	Hartmannibacter	1.0
Achromobacter	Helianthus	1.0
Achromobacter	Henriciella	1.0
Achromobacter	Hydrocarboniclastica	1.0
Achromobacter	Hydrogenophaga	1.0
Achromobacter	Hymenobacter	1.0
Achromobacter	Hyphomonas	1.0
Achromobacter	Intrasporangium	1.0
Achromobacter	Kibdelosporangium	1.0
Achromobacter	Kitasatospora	0.6308898935153844
Achromobacter	Klebsiella	1.0
Achromobacter	Kocuria	1.0
Achromobacter	Labrys	1.0
Achromobacter	Lacibacter	1.0
Achromobacter	Legionella	1.0
Achromobacter	Lentzea	1.0
Achromobacter	Leucobacter	1.0
Achromobacter	Limnobacter	1.0
Achromobacter	Luteimonas	1.0
Achromobacter	Maliponia	1.0
Achromobacter	Mangrovivirga	1.0
Achromobacter	Marinobacter	1.0
Achromobacter	Martelella	1.0
Achromobacter	Massilia	1.0
Achromobacter	Mesorhizobium	1.0
Achromobacter	Metapseudomonas	1.0
Achromobacter	Methyloceanibacter	1.0
Achromobacter	Methylocella	1.0
Achromobacter	Microbacterium	0.7071067811865476
Achromobacter	Micromonospora	0.7071067811865476
Achromobacter	Microterricola	1.0
Achromobacter	Microvirga	0.7071067811865476
Achromobacter	Modestobacter	1.0
Achromobacter	Mycobacterium	0.9994523890974522
Achromobacter	Natrinema	1.0
Achromobacter	Neobacillus	1.0
Achromobacter	Neorhizobium	1.0
Achromobacter	Neoroseomonas	1.0
Achromobacter	Niveibacterium	1.0
Achromobacter	Nocardia	1.0
Achromobacter	Nocardiopsis	1.0
Achromobacter	Novosphingobium	1.0
Achromobacter	Oceanococcus	1.0
Achromobacter	Oleomonas	1.0
Achromobacter	Paenibacillus	0.9943849008380186
Achromobacter	Panacagrimonas	1.0
Achromobacter	Paracoccus	1.0
Achromobacter	Paracraurococcus	1.0
Achromobacter	Parafrankia	1.0
Achromobacter	Paraperlucidibaca	1.0
Achromobacter	Pedobacter	1.0
Achromobacter	Pelomonas	1.0
Achromobacter	Peribacillus	1.0
Achromobacter	Phenylobacterium	1.0
Achromobacter	Phnomibacter	1.0
Achromobacter	Phyllobacterium	1.0
Achromobacter	Phytohabitans	1.0
Achromobacter	Planctomyces	1.0
Achromobacter	Planobispora	1.0
Achromobacter	Polaromonas	1.0
Achromobacter	Prauserella	1.0
Achromobacter	Pseudarthrobacter	1.0
Achromobacter	Pseudofrankia	0.9934039920387389
Achromobacter	Pseudogemmobacter	1.0
Achromobacter	Pseudorhodoferax	1.0
Achromobacter	Pseudoroseicyclus	1.0
Achromobacter	Pueribacillus	1.0
Achromobacter	Pullulanibacillus	1.0
Achromobacter	Rahnella	1.0
Achromobacter	Ramlibacter	1.0
Achromobacter	Raoultella	1.0
Achromobacter	Rathayibacter	1.0
Achromobacter	Reyranella	1.0
Achromobacter	Rhizobium	0.9921033641374599
Achromobacter	Rhodanobacter	1.0
Achromobacter	Rhodococcus	0.8432703738206657
Achromobacter	Rhodoferax	1.0
Achromobacter	Rhodopila	1.0
Achromobacter	Rivibacter	1.0
Achromobacter	Roseicella	1.0
Achromobacter	Roseitalea	1.0
Achromobacter	Roseivirga	1.0
Achromobacter	Roseomonas	1.0
Achromobacter	Saccharomonospora	1.0
Achromobacter	Salinarimonas	1.0
Achromobacter	Saliniramus	1.0
Achromobacter	Serinicoccus	1.0
Achromobacter	Serratia	1.0
Achromobacter	Silvimonas	1.0
Achromobacter	Sinimarinibacterium	1.0
Achromobacter	Sinorhizobium	1.0
Achromobacter	Solimonas	1.0
Achromobacter	Sorangium	1.0
Achromobacter	Spectribacter	1.0
Achromobacter	Sphingobium	1.0
Achromobacter	Sphingomonas	0.9983687759654895
Achromobacter	Sphingopyxis	1.0
Achromobacter	Stagnihabitans	1.0
Achromobacter	Stagnimonas	1.0
Achromobacter	Stenotrophomonas	1.0
Achromobacter	Streptomonospora	1.0
Achromobacter	Streptomyces	0.9990536105975776
Achromobacter	Tabrizicola	1.0
Achromobacter	Tahibacter	1.0
Achromobacter	Tessaracoccus	1.0
Achromobacter	Thermomonas	1.0
Achromobacter	Thioclava	0.7071067811865476
Achromobacter	Tistrella	1.0
Achromobacter	Tsukamurella	1.0
Achromobacter	Tsuneonella	1.0
Achromobacter	Umezawaea	1.0
Achromobacter	Vitis	1.0
Achromobacter	Vulcanimicrobium	1.0
Achromobacter	Wenjunlia	1.0
Achromobacter	Williamsia	1.0
Achromobacter	Xaviernesmea	1.0
Achromobacter	bacterium	1.0
Achromobacter	uncultured	1.0
Acidovorax	Actinoplanes	1.0
Acidovorax	Aeromicrobium	1.0
Acidovorax	Agarivorans	1.0
Acidovorax	Agrobacterium	1.0
Acidovorax	Alcanivorax	1.0
Acidovorax	Alicyclobacillus	1.0
Acidovorax	Aliigemmobacter	1.0
Acidovorax	Aliivibrio	1.0
Acidovorax	Alkalisalibacterium	1.0
Acidovorax	Amycolatopsis	0.7071067811865476
Acidovorax	Ancylobacter	1.0
Acidovorax	Aquabacterium	0.9217833643394758
Acidovorax	Arenimonas	1.0
Acidovorax	Arthrobacter	1.0
Acidovorax	Aureimonas	1.0
Acidovorax	Bacillus	1.0
Acidovorax	Blastomonas	1.0
Acidovorax	Bordetella	1.0
Acidovorax	Bosea	1.0
Acidovorax	Brachybacterium	1.0
Acidovorax	Bradyrhizobium	0.9903555664581378
Acidovorax	Brevibacillus	1.0
Acidovorax	Brevibacterium	1.0
Acidovorax	Brevundimonas	1.0
Acidovorax	Burkholderia	0.9724500508595081
Acidovorax	Caenimonas	1.0
Acidovorax	Caenorhabditis	1.0
Acidovorax	Caldovatus	1.0
Acidovorax	Candidatus	0.914618385976984
Acidovorax	Carbonactinospora	1.0
Acidovorax	Cereibacter	1.0
Acidovorax	Chelatococcus	1.0
Acidovorax	Chitiniphilus	1.0
Acidovorax	Clavibacter	1.0
Acidovorax	Cognatilysobacter	1.0
Acidovorax	Cohnella	1.0
Acidovorax	Corynebacterium	0.9752314881306815
Acidovorax	Crenothrix	1.0
Acidovorax	Cupriavidus	0.7071067811865476
Acidovorax	Curtobacterium	1.0
Acidovorax	Curvibacter	1.0
Acidovorax	Cypionkella	1.0
Acidovorax	Delftia	1.0
Acidovorax	Dietzia	1.0
Acidovorax	Dyadobacter	1.0
Acidovorax	Echinicola	0.7071067811865476
Acidovorax	Ensifer	1.0
Acidovorax	Enterobacter	1.0
Acidovorax	Entotheonella	1.0
Acidovorax	Fistulifera	1.0
Acidovorax	Flavihumibacter	1.0
Acidovorax	Flavisolibacter	1.0
Acidovorax	Flavobacterium	1.0
Acidovorax	Fluviicoccus	1.0
Acidovorax	Fontibacter	1.0
Acidovorax	Fulvivirga	1.0
Acidovorax	Galdieria	1.0
Acidovorax	Geopseudomonas	1.0
Acidovorax	Glutamicibacter	1.0
Acidovorax	Gordonia	0.9982427872688735
Acidovorax	Haloarcula	1.0
Acidovorax	Haloprofundus	1.0
Acidovorax	Halopseudomonas	1.0
Acidovorax	Halorubrum	1.0
Acidovorax	Hansschlegelia	1.0
Acidovorax	Hartmannibacter	1.0
Acidovorax	Helianthus	1.0
Acidovorax	Henriciella	1.0
Acidovorax	Hydrocarboniclastica	1.0
Acidovorax	Hydrogenophaga	1.0
Acidovorax	Hymenobacter	1.0
Acidovorax	Hyphomonas	1.0
Acidovorax	Intrasporangium	1.0
Acidovorax	Kibdelosporangium	1.0
Acidovorax	Kitasatospora	0.6308898935153844
Acidovorax	Klebsiella	1.0
Acidovorax	Kocuria	1.0
Acidovorax	Labrys	1.0
Acidovorax	Lacibacter	1.0
Acidovorax	Legionella	1.0
Acidovorax	Lentzea	1.0
Acidovorax	Leucobacter	1.0
Acidovorax	Limnobacter	1.0
Acidovorax	Luteimonas	1.0
Acidovorax	Maliponia	1.0
Acidovorax	Mangrovivirga	1.0
Acidovorax	Marinobacter	1.0
Acidovorax	Martelella	1.0
Acidovorax	Massilia	1.0
Acidovorax	Mesorhizobium	1.0
Acidovorax	Metapseudomonas	1.0
Acidovorax	Methyloceanibacter	1.0
Acidovorax	Methylocella	1.0
Acidovorax	Microbacterium	0.7071067811865476
Acidovorax	Micromonospora	0.7071067811865476
Acidovorax	Microterricola	1.0
Acidovorax	Microvirga	0.7071067811865476
Acidovorax	Modestobacter	1.0
Acidovorax	Mycobacterium	0.9994523890974522
Acidovorax	Natrinema	1.0
Acidovorax	Neobacillus	1.0
Acidovorax	Neorhizobium	1.0
Acidovorax	Neoroseomonas	1.0
Acidovorax	Niveibacterium	1.0
Acidovorax	Nocardia	1.0
Acidovorax	Nocardiopsis	1.0
Acidovorax	Novosphingobium	1.0
Acidovorax	Oceanococcus	1.0
Acidovorax	Oleomonas	1.0
Acidovorax	Paenibacillus	0.9943849008380186
Acidovorax	Panacagrimonas	1.0
Acidovorax	Paracoccus	1.0
Acidovorax	Paracraurococcus	1.0
Acidovorax	Parafrankia	1.0
Acidovorax	Paraperlucidibaca	1.0
Acidovorax	Pedobacter	1.0
Acidovorax	Pelomonas	1.0
Acidovorax	Peribacillus	1.0
Acidovorax	Phenylobacterium	1.0
Acidovorax	Phnomibacter	1.0
Acidovorax	Phyllobacterium	1.0
Acidovorax	Phytohabitans	1.0
Acidovorax	Planctomyces	1.0
Acidovorax	Planobispora	1.0
Acidovorax	Polaromonas	1.0
Acidovorax	Prauserella	1.0
Acidovorax	Pseudarthrobacter	1.0
Acidovorax	Pseudofrankia	0.9934039920387389
Acidovorax	Pseudogemmobacter	1.0
Acidovorax	Pseudorhodoferax	1.0
Acidovorax	Pseudoroseicyclus	1.0
Acidovorax	Pueribacillus	1.0
Acidovorax	Pullulanibacillus	1.0
Acidovorax	Rahnella	1.0
Acidovorax	Ramlibacter	1.0
Acidovorax	Raoultella	1.0
Acidovorax	Rathayibacter	1.0
Acidovorax	Reyranella	1.0
Acidovorax	Rhizobium	0.9921033641374599
Acidovorax	Rhodanobacter	1.0
Acidovorax	Rhodococcus	0.8432703738206657
Acidovorax	Rhodoferax	1.0
Acidovorax	Rhodopila	1.0
Acidovorax	Rivibacter	1.0
Acidovorax	Roseicella	1.0
Acidovorax	Roseitalea	1.0
Acidovorax	Roseivirga	1.0
Acidovorax	Roseomonas	1.0
Acidovorax	Saccharomonospora	1.0
Acidovorax	Salinarimonas	1.0
Acidovorax	Saliniramus	1.0
Acidovorax	Serinicoccus	1.0
Acidovorax	Serratia	1.0
Acidovorax	Silvimonas	1.0
Acidovorax	Sinimarinibacterium	1.0
Acidovorax	Sinorhizobium	1.0
Acidovorax	Solimonas	1.0
Acidovorax	Sorangium	1.0
Acidovorax	Spectribacter	1.0
Acidovorax	Sphingobium	1.0
Acidovorax	Sphingomonas	0.9983687759654895
Acidovorax	Sphingopyxis	1.0
Acidovorax	Stagnihabitans	1.0
Acidovorax	Stagnimonas	1.0
Acidovorax	Stenotrophomonas	1.0
Acidovorax	Streptomonospora	1.0
Acidovorax	Streptomyces	0.9990536105975776
Acidovorax	Tabrizicola	1.0
Acidovorax	Tahibacter	1.0
Acidovorax	Tessaracoccus	1.0
Acidovorax	Thermomonas	1.0
Acidovorax	Thioclava	0.7071067811865476
Acidovorax	Tistrella	1.0
Acidovorax	Tsukamurella	1.0
Acidovorax	Tsuneonella	1.0
Acidovorax	Umezawaea	1.0
Acidovorax	Vitis	1.0
Acidovorax	Vulcanimicrobium	1.0
Acidovorax	Wenjunlia	1.0
Acidovorax	Williamsia	1.0
Acidovorax	Xaviernesmea	1.0
Acidovorax	bacterium	1.0
Acidovorax	uncultured	1.0
Actinomadura	Antarctobacter	1.0
Actinomadura	Cupriavidus	0.7071067811865476
Actinomadura	Falsiruegeria	1.0
Actinomadura	Granulosicoccus	1.0
Actinomadura	Kushneria	1.0
Actinomadura	Methylobacterium	0.9494231490810533
Actinomadura	Paraburkholderia	0.9705058091462746
Actinomadura	Paracidovorax	1.0
Actinomadura	Ralstonia	0.6951653759842311
Actinomadura	Tepidimonas	1.0
Actinomadura	Variovorax	0.9390027100159213
Actinomadura	Xanthomonas	1.0
Actinomadura	termite	1.0
Actinoplanes	Aeromicrobium	1.0
Actinoplanes	Agarivorans	1.0
Actinoplanes	Agrobacterium	1.0
Actinoplanes	Alcanivorax	1.0
Actinoplanes	Alicyclobacillus	1.0
Actinoplanes	Aliigemmobacter	1.0
Actinoplanes	Aliivibrio	1.0
Actinoplanes	Alkalisalibacterium	1.0
Actinoplanes	Amycolatopsis	0.7071067811865476
Actinoplanes	Ancylobacter	1.0
Actinoplanes	Aquabacterium	0.9217833643394758
Actinoplanes	Arenimonas	1.0
Actinoplanes	Arthrobacter	1.0
Actinoplanes	Aureimonas	1.0
Actinoplanes	Bacillus	1.0
Actinoplanes	Blastomonas	1.0
Actinoplanes	Bordetella	1.0
Actinoplanes	Bosea	1.0
Actinoplanes	Brachybacterium	1.0
Actinoplanes	Bradyrhizobium	0.9903555664581378
Actinoplanes	Brevibacillus	1.0
Actinoplanes	Brevibacterium	1.0
Actinoplanes	Brevundimonas	1.0
Actinoplanes	Burkholderia	0.9724500508595081
Actinoplanes	Caenimonas	1.0
Actinoplanes	Caenorhabditis	1.0
Actinoplanes	Caldovatus	1.0
Actinoplanes	Candidatus	0.914618385976984
Actinoplanes	Carbonactinospora	1.0
Actinoplanes	Cereibacter	1.0
Actinoplanes	Chelatococcus	1.0
Actinoplanes	Chitiniphilus	1.0
Actinoplanes	Clavibacter	1.0
Actinoplanes	Cognatilysobacter	1.0
Actinoplanes	Cohnella	1.0
Actinoplanes	Corynebacterium	0.9752314881306815
Actinoplanes	Crenothrix	1.0
Actinoplanes	Cupriavidus	0.7071067811865476
Actinoplanes	Curtobacterium	1.0
Actinoplanes	Curvibacter	1.0
Actinoplanes	Cypionkella	1.0
Actinoplanes	Delftia	1.0
Actinoplanes	Dietzia	1.0
Actinoplanes	Dyadobacter	1.0
Actinoplanes	Echinicola	0.7071067811865476
Actinoplanes	Ensifer	1.0
Actinoplanes	Enterobacter	1.0
Actinoplanes	Entotheonella	1.0
